feature,importance
chs_asthma_pct,0.6850106
pollen_28d_lag_avg,0.049038105
temp_min_mean,0.047809746
temp_max_mean,0.027509762
total_dbh,0.027134022
pollen_14d_lag_avg,0.02479288
pollen_composite_avg,0.018879933
pm25_mean,0.018026002
tree_avg,0.017415376
no2_mean,0.016782332
weed_avg,0.01289171
pct_good_health,0.012406017
grass_avg,0.00665724
mean_dbh,0.0066000423
ozone_mean,0.0065342286
tree_max,0.006437481
wind_max_mean,0.0062572486
tree_count,0.00406922
pollen_composite_max,0.0028790687
precip_total,0.0028689958
