feature,coefficient,abs_coefficient
chs_asthma_pct,7.931254684005733,7.931254684005733
temp_max_mean,-2.4213500003543076,2.4213500003543076
pollen_composite_avg,2.151740880754551,2.151740880754551
pollen_28d_lag_avg,-2.139093878217579,2.139093878217579
tree_avg,2.129135007804935,2.129135007804935
ozone_mean,-2.0115509622231498,2.0115509622231498
temp_min_mean,1.7924123590772927,1.7924123590772927
no2_mean,1.1995581187147923,1.1995581187147923
pollen_14d_lag_avg,-0.9363998656514632,0.9363998656514632
wind_max_mean,-0.7337037764182319,0.7337037764182319
grass_avg,0.6044565557032482,0.6044565557032482
pm25_mean,0.5831170433293262,0.5831170433293262
precip_total,-0.3341976987005902,0.3341976987005902
total_dbh,-0.15057313904670655,0.15057313904670655
mean_dbh,0.11368775229832155,0.11368775229832155
tree_count,0.10087050488865365,0.10087050488865365
tree_max,-0.07568234092833619,0.07568234092833619
weed_avg,-0.05090636599557032,0.05090636599557032
pct_good_health,0.03931030518061862,0.03931030518061862
pollen_composite_max,0.014584403415348886,0.014584403415348886
