borough,year_month,complaint_count
BRONX,2020-01,28
BRONX,2020-02,41
BRONX,2020-03,69
BRONX,2020-04,58
BRONX,2020-05,64
BRONX,2020-06,80
BRONX,2020-07,74
BRONX,2020-08,38
BRONX,2020-09,35
BRONX,2020-10,39
BRONX,2020-11,48
BRONX,2020-12,72
BRONX,2021-01,77
BRONX,2021-02,80
BRONX,2021-03,54
BRONX,2021-04,92
BRONX,2021-05,67
BRONX,2021-06,73
BRONX,2021-07,59
BRONX,2021-08,71
BRONX,2021-09,47
BRONX,2021-10,84
BRONX,2021-11,50
BRONX,2021-12,50
BRONX,2022-01,47
BRONX,2022-02,51
BRONX,2022-03,57
BRONX,2022-04,58
BRONX,2022-05,56
BRONX,2022-06,62
BRONX,2022-07,56
BRONX,2022-08,64
BRONX,2022-09,51
BRONX,2022-10,36
BRONX,2022-11,40
BRONX,2022-12,23
BRONX,2023-01,39
BRONX,2023-02,53
BRONX,2023-03,70
BRONX,2023-04,84
BRONX,2023-05,59
BRONX,2023-06,73
BRONX,2023-07,78
BRONX,2023-08,76
BRONX,2023-09,44
BRONX,2023-10,50
BRONX,2023-11,44
BRONX,2023-12,47
BRONX,2024-01,60
BRONX,2024-02,76
BRONX,2024-03,81
BRONX,2024-04,65
BRONX,2024-05,70
BRONX,2024-06,52
BRONX,2024-07,71
BRONX,2024-08,53
BRONX,2024-09,45
BRONX,2024-10,54
BRONX,2024-11,35
BRONX,2024-12,26
BROOKLYN,2020-01,148
BROOKLYN,2020-02,172
BROOKLYN,2020-03,201
BROOKLYN,2020-04,104
BROOKLYN,2020-05,177
BROOKLYN,2020-06,229
BROOKLYN,2020-07,155
BROOKLYN,2020-08,163
BROOKLYN,2020-09,171
BROOKLYN,2020-10,156
BROOKLYN,2020-11,116
BROOKLYN,2020-12,120
BROOKLYN,2021-01,183
BROOKLYN,2021-02,113
BROOKLYN,2021-03,175
BROOKLYN,2021-04,145
BROOKLYN,2021-05,189
BROOKLYN,2021-06,189
BROOKLYN,2021-07,131
BROOKLYN,2021-08,144
BROOKLYN,2021-09,140
BROOKLYN,2021-10,173
BROOKLYN,2021-11,146
BROOKLYN,2021-12,106
BROOKLYN,2022-01,113
BROOKLYN,2022-02,117
BROOKLYN,2022-03,166
BROOKLYN,2022-04,189
BROOKLYN,2022-05,186
BROOKLYN,2022-06,186
BROOKLYN,2022-07,154
BROOKLYN,2022-08,203
BROOKLYN,2022-09,203
BROOKLYN,2022-10,166
BROOKLYN,2022-11,164
BROOKLYN,2022-12,142
BROOKLYN,2023-01,200
BROOKLYN,2023-02,188
BROOKLYN,2023-03,207
BROOKLYN,2023-04,225
BROOKLYN,2023-05,249
BROOKLYN,2023-06,235
BROOKLYN,2023-07,199
BROOKLYN,2023-08,181
BROOKLYN,2023-09,208
BROOKLYN,2023-10,229
BROOKLYN,2023-11,164
BROOKLYN,2023-12,151
BROOKLYN,2024-01,178
BROOKLYN,2024-02,176
BROOKLYN,2024-03,188
BROOKLYN,2024-04,205
BROOKLYN,2024-05,251
BROOKLYN,2024-06,267
BROOKLYN,2024-07,220
BROOKLYN,2024-08,207
BROOKLYN,2024-09,241
BROOKLYN,2024-10,213
BROOKLYN,2024-11,152
BROOKLYN,2024-12,123
MANHATTAN,2020-01,220
MANHATTAN,2020-02,202
MANHATTAN,2020-03,220
MANHATTAN,2020-04,97
MANHATTAN,2020-05,169
MANHATTAN,2020-06,169
MANHATTAN,2020-07,140
MANHATTAN,2020-08,136
MANHATTAN,2020-09,131
MANHATTAN,2020-10,130
MANHATTAN,2020-11,167
MANHATTAN,2020-12,154
MANHATTAN,2021-01,199
MANHATTAN,2021-02,162
MANHATTAN,2021-03,175
MANHATTAN,2021-04,162
MANHATTAN,2021-05,166
MANHATTAN,2021-06,192
MANHATTAN,2021-07,391
MANHATTAN,2021-08,520
MANHATTAN,2021-09,510
MANHATTAN,2021-10,727
MANHATTAN,2021-11,689
MANHATTAN,2021-12,643
