nta_code,NTAName,borough,year_month,date,borough_count,n_ntas,estimated_count
BK0101,Greenpoint,Brooklyn,2022-03,2022-03-01,1642.0,53,34.88276916864954
BK0101,Greenpoint,Brooklyn,2022-04,2022-04-01,1540.0,53,32.71587364172977
BK0101,Greenpoint,Brooklyn,2022-05,2022-05-01,2155.0,53,45.78097902462835
BK0101,Greenpoint,Brooklyn,2022-06,2022-06-01,1508.0,53,32.03606328034318
BK0101,Greenpoint,Brooklyn,2022-07,2022-07-01,1377.0,53,29.253089613416815
BK0101,Greenpoint,Brooklyn,2022-08,2022-08-01,1308.0,53,27.787248521676975
BK0101,Greenpoint,Brooklyn,2022-09,2022-09-01,1827.0,53,38.81292282041578
BK0101,Greenpoint,Brooklyn,2022-10,2022-10-01,2066.0,53,43.89025645702189
BK0101,Greenpoint,Brooklyn,2022-11,2022-11-01,1706.0,53,36.242389891422725
BK0101,Greenpoint,Brooklyn,2022-12,2022-12-01,1329.0,53,28.23337407133693
BK0101,Greenpoint,Brooklyn,2023-01,2023-01-01,1378.0,53,29.27433368721015
BK0101,Greenpoint,Brooklyn,2023-02,2023-02-01,1594.0,53,33.863053626569645
BK0101,Greenpoint,Brooklyn,2023-03,2023-03-01,1633.0,53,34.69157250450956
BK0101,Greenpoint,Brooklyn,2023-04,2023-04-01,1914.0,53,40.66115724043557
BK0101,Greenpoint,Brooklyn,2023-05,2023-05-01,1931.0,53,41.022306494922205
BK0101,Greenpoint,Brooklyn,2023-06,2023-06-01,1760.0,53,37.3895698762626
BK0101,Greenpoint,Brooklyn,2023-07,2023-07-01,1442.0,53,30.633954409983332
BK0101,Greenpoint,Brooklyn,2023-08,2023-08-01,1449.0,53,30.78266292653665
BK0101,Greenpoint,Brooklyn,2023-09,2023-09-01,1753.0,53,37.24086135970928
BK0101,Greenpoint,Brooklyn,2023-10,2023-10-01,2030.0,53,43.12546980046197
BK0101,Greenpoint,Brooklyn,2023-11,2023-11-01,1857.0,53,39.450245034215705
BK0101,Greenpoint,Brooklyn,2023-12,2023-12-01,1815.0,53,38.557993934895805
BK0101,Greenpoint,Brooklyn,2024-01,2024-01-01,1689.0,53,35.88124063693609
BK0101,Greenpoint,Brooklyn,2024-02,2024-02-01,1461.0,53,31.037591812056622
BK0101,Greenpoint,Brooklyn,2024-03,2024-03-01,1538.0,53,32.67338549414311
BK0101,Greenpoint,Brooklyn,2024-04,2024-04-01,1636.0,53,34.75530472588955
BK0101,Greenpoint,Brooklyn,2024-05,2024-05-01,1928.0,53,40.95857427354221
BK0101,Greenpoint,Brooklyn,2024-06,2024-06-01,1406.0,53,29.869167753423415
BK0101,Greenpoint,Brooklyn,2024-07,2024-07-01,1334.0,53,28.339594440303582
BK0101,Greenpoint,Brooklyn,2024-08,2024-08-01,1423.0,53,30.230317007910042
BK0101,Greenpoint,Brooklyn,2024-09,2024-09-01,1775.0,53,37.708230983162565
BK0101,Greenpoint,Brooklyn,2024-10,2024-10-01,1834.0,53,38.96163133696909
BK0101,Greenpoint,Brooklyn,2024-11,2024-11-01,1657.0,53,35.201430275549505
BK0101,Greenpoint,Brooklyn,2024-12,2024-12-01,1715.0,53,36.4335865555627
BK0101,Greenpoint,Brooklyn,2025-01,2025-01-01,1489.0,53,31.632425878269892
BK0101,Greenpoint,Brooklyn,2025-02,2025-02-01,1240.0,53,26.342651503730465
BK0101,Greenpoint,Brooklyn,2025-03,2025-03-01,1558.0,53,33.09826697000973
BK0101,Greenpoint,Brooklyn,2025-04,2025-04-01,1784.0,53,37.899427647302545
BK0101,Greenpoint,Brooklyn,2025-05,2025-05-01,1973.0,53,41.914557594242105
BK0101,Greenpoint,Brooklyn,2025-06,2025-06-01,1433.0,53,30.442757745843352
BK0101,Greenpoint,Brooklyn,2025-07,2025-07-01,1376.0,53,29.231845539623485
BK0101,Greenpoint,Brooklyn,2025-08,2025-08-01,1437.0,53,30.52773404101668
BK0101,Greenpoint,Brooklyn,2025-09,2025-09-01,1716.0,53,36.45483062935603
BK0101,Greenpoint,Brooklyn,2025-10,2025-10-01,1699.0,53,36.093681374869405
BK0101,Greenpoint,Brooklyn,2025-11,2025-11-01,50.0,53,1.062203689666551
BK0102,Williamsburg,Brooklyn,2022-03,2022-03-01,1642.0,53,36.04706447410637
BK0102,Williamsburg,Brooklyn,2022-04,2022-04-01,1540.0,53,33.80784366024593
BK0102,Williamsburg,Brooklyn,2022-05,2022-05-01,2155.0,53,47.309027979110375
BK0102,Williamsburg,Brooklyn,2022-06,2022-06-01,1508.0,53,33.1053430127603
BK0102,Williamsburg,Brooklyn,2022-07,2022-07-01,1377.0,53,30.229480987116002
BK0102,Williamsburg,Brooklyn,2022-08,2022-08-01,1308.0,53,28.714713965975115
BK0102,Williamsburg,Brooklyn,2022-09,2022-09-01,1827.0,53,40.10839634238267
BK0102,Williamsburg,Brooklyn,2022-10,2022-10-01,2066.0,53,45.35519805329097
BK0102,Williamsburg,Brooklyn,2022-11,2022-11-01,1706.0,53,37.452065769077635
BK0102,Williamsburg,Brooklyn,2022-12,2022-12-01,1329.0,53,29.17573001588756
BK0102,Williamsburg,Brooklyn,2023-01,2023-01-01,1378.0,53,30.251434132349928
BK0102,Williamsburg,Brooklyn,2023-02,2023-02-01,1594.0,53,34.99331350287793
BK0102,Williamsburg,Brooklyn,2023-03,2023-03-01,1633.0,53,35.84948616700104
BK0102,Williamsburg,Brooklyn,2023-04,2023-04-01,1914.0,53,42.01831997773422
BK0102,Williamsburg,Brooklyn,2023-05,2023-05-01,1931.0,53,42.39152344671096
BK0102,Williamsburg,Brooklyn,2023-06,2023-06-01,1760.0,53,38.63753561170963
BK0102,Williamsburg,Brooklyn,2023-07,2023-07-01,1442.0,53,31.65643542732119
BK0102,Williamsburg,Brooklyn,2023-08,2023-08-01,1449.0,53,31.810107443958668
BK0102,Williamsburg,Brooklyn,2023-09,2023-09-01,1753.0,53,38.48386359507215
BK0102,Williamsburg,Brooklyn,2023-10,2023-10-01,2030.0,53,44.56488482486963
BK0102,Williamsburg,Brooklyn,2023-11,2023-11-01,1857.0,53,40.766990699400445
BK0102,Williamsburg,Brooklyn,2023-12,2023-12-01,1815.0,53,39.844958599575556
BK0102,Williamsburg,Brooklyn,2024-01,2024-01-01,1689.0,53,37.078862300100894
BK0102,Williamsburg,Brooklyn,2024-02,2024-02-01,1461.0,53,32.07354518676578
