month,pollen_allergy,asthma,allergy_symptoms,pollen_count,asthma_symptoms,search_index_mean
2021-12,0.0,64.0,42.0,0.0,85.0,38.2
2022-01,0.0,65.2,29.6,0.0,69.4,32.84
2022-02,1.25,66.5,32.5,2.0,62.5,32.95
2022-03,8.0,73.0,46.0,15.5,78.25,44.15
2022-04,18.75,73.25,67.25,33.25,73.5,53.2
2022-05,31.6,68.4,76.6,57.4,62.0,59.2
2022-06,12.0,62.75,50.75,35.0,71.75,46.45
2022-07,4.4,59.0,46.6,15.6,51.8,35.48
2022-08,3.75,59.5,43.25,16.0,48.0,34.1
2022-09,2.0,62.0,37.25,15.25,49.75,33.25
2022-10,2.0,70.6,36.2,9.0,57.6,35.08
2022-11,0.0,68.75,28.75,4.0,58.0,31.9
2022-12,0.0,63.0,29.25,0.5,71.0,32.75
2023-01,0.0,66.0,30.6,2.0,54.6,30.639999999999997
2023-02,2.5,66.25,30.75,4.75,58.0,32.45
2023-03,7.25,65.5,38.25,14.5,63.5,37.8
2023-04,36.6,66.8,60.6,51.2,68.8,56.8
2023-05,34.25,64.5,63.5,62.0,52.75,55.4
2023-06,9.0,68.75,40.25,22.0,65.75,41.15
2023-07,5.8,54.4,35.8,11.4,51.6,31.8
2023-08,4.5,56.0,34.75,13.75,42.5,30.3
2023-09,4.5,62.5,32.0,14.75,55.25,33.8
2023-10,1.2,64.8,32.6,8.2,57.6,32.88
2023-11,0.0,68.75,30.25,4.0,66.25,33.85
2023-12,0.8,62.6,29.4,1.8,55.6,30.04
2024-01,2.25,63.75,28.0,0.75,61.25,31.2
2024-02,0.0,65.5,28.5,2.75,62.5,31.85
2024-03,10.4,67.4,41.2,17.2,57.4,38.720000000000006
2024-04,28.75,68.0,55.25,46.5,66.0,52.9
2024-05,27.0,66.25,59.0,58.0,57.25,53.5
2024-06,9.8,58.8,40.0,25.4,45.2,35.839999999999996
2024-07,4.0,59.0,35.25,10.0,44.0,30.45
2024-08,3.25,59.5,37.75,15.0,45.5,32.2
2024-09,7.2,65.6,40.0,17.0,55.0,36.96
2024-10,4.5,69.0,33.25,12.0,56.0,34.95
2024-11,0.0,65.25,26.75,3.75,54.25,30.0
2024-12,0.0,65.4,28.4,0.0,63.2,31.4
2025-01,0.0,68.75,27.75,0.0,62.25,31.75
2025-02,0.0,71.0,25.25,1.75,67.0,33.0
2025-03,11.4,69.6,39.8,21.4,52.6,38.959999999999994
2025-04,51.75,68.5,56.25,63.0,51.75,58.25
2025-05,29.5,66.25,48.25,50.5,48.0,48.5
2025-06,8.4,67.6,36.0,19.8,58.0,37.96
2025-07,6.75,76.75,34.25,9.75,65.5,38.6
2025-08,7.0,71.2,36.4,14.0,64.8,38.67999999999999
2025-09,9.0,75.75,40.25,14.25,73.5,42.55
2025-10,1.75,79.75,31.75,6.25,71.5,38.2
2025-11,0.0,93.6,30.2,2.2,85.8,42.36
2025-12,1.5,84.75,26.75,0.0,69.75,36.55
