year;month;n_days;TREE_avg;TREE_max;WEED_avg;WEED_max;GRASS_avg;GRASS_max;MOLD_avg;MOLD_max
2022;3;31;81.6;518;2.5;3;2.0;2;0;0
2022;4;22;88.7;513;3.3;7;3.8;7;0;0
2022;5;22;372.0;1642;9.1;17;15.9;50;0;0
2022;6;30;33.3;199;5.9;19;12.2;31;0;0
2022;7;30;3.4;11;5.3;15;4.0;15;0;0
2022;8;31;2.0;2;6.4;14;2.0;2;0;0
2022;9;25;21.0;99;17.3;69;16.7;62;0;0
2022;10;31;3.2;9;4.8;13;2.5;4;0;0
2023;3;30;52.4;217;2.0;2;2.0;2;0;0
2023;4;30;359.4;1941;4.3;9;2.6;4;0;0
2023;5;28;121.7;475;3.5;13;4.3;11;0;0
2023;6;30;36.6;197;4.1;13;4.7;13;0;0
2023;7;31;5.2;16;10.7;40;4.3;13;0;0
2023;8;31;2.5;4;12.9;53;3.7;29;0;0
2023;9;29;6.6;15;9.7;41;15.9;53;0;0
2023;10;31;3.6;9;3.8;7;2.0;2;0;0
2024;3;30;35.9;178;4.0;4;0;0;0;0
2024;4;29;146.9;526;3.9;7;3.2;11;0;0
2024;5;29;191.9;857;9.7;50;12.9;66;0;0
2024;6;30;15.8;110;6.6;19;8.8;40;0;0
2024;7;30;2.9;6;4.7;14;3.2;7;0;0
2024;8;31;4.9;24;11.6;29;4.4;9;0;0
2024;9;30;36.8;223;16.5;46;16.9;110;0;0
2024;10;31;3.3;7;3.9;8;3.6;9;0;0
2025;3;26;137.5;552;2.0;2;0;0;0;0
2025;4;30;540.2;2946;6.4;17;4.0;6;0;0
2025;5;31;186.2;974;8.3;42;7.2;22;0;0
2025;6;30;19.4;91;5.0;20;6.4;15;0;0
2025;7;30;2.7;4;17.0;82;3.8;11;0;0
2025;8;31;10.1;75;14.8;75;4.9;11;0;0
2025;9;30;11.8;46;6.2;17;6.2;20;0;0
2025;10;31;2.7;4;3.1;7;3.1;11;0;0
