date,year,month,TREE,UNIDENTIFIED,WEED,GRASS,MOLD
2022-03-01,2022,3,,,,,0
2022-03-02,2022,3,2.0,,,,0
2022-03-03,2022,3,13.0,2.0,,,0
2022-03-04,2022,3,2.0,,,,0
2022-03-05,2022,3,19.0,,,,0
2022-03-06,2022,3,257.0,7.0,,,0
2022-03-07,2022,3,328.0,7.0,,,0
2022-03-08,2022,3,64.0,,2.0,,0
2022-03-09,2022,3,9.0,,,,0
2022-03-10,2022,3,,,,,0
2022-03-11,2022,3,17.0,,,,0
2022-03-12,2022,3,9.0,,,,0
2022-03-13,2022,3,2.0,2.0,,,0
2022-03-14,2022,3,23.0,,,,0
2022-03-15,2022,3,317.0,2.0,3.0,2.0,0
2022-03-16,2022,3,132.0,,,,0
2022-03-17,2022,3,24.0,,,,0
2022-03-18,2022,3,203.0,,,,0
2022-03-19,2022,3,518.0,,,,0
2022-03-20,2022,3,143.0,2.0,,,0
2022-03-21,2022,3,45.0,,,,0
2022-03-22,2022,3,35.0,,,,0
2022-03-23,2022,3,18.0,,,,0
2022-03-24,2022,3,,,,,0
2022-03-25,2022,3,6.0,,,,0
2022-03-26,2022,3,19.0,,,,0
2022-03-27,2022,3,8.0,,,,0
2022-03-28,2022,3,4.0,,,,0
2022-03-29,2022,3,6.0,,,,0
2022-03-30,2022,3,10.0,,,,0
2022-03-31,2022,3,53.0,2.0,,,0
2022-04-01,2022,4,60.0,,,,0
2022-04-02,2022,4,9.0,2.0,,,0
2022-04-03,2022,4,4.0,,,,0
2022-04-04,2022,4,9.0,,,,0
2022-04-05,2022,4,18.0,,,,0
2022-04-06,2022,4,19.0,,,,0
2022-04-07,2022,4,13.0,2.0,,,0
2022-04-08,2022,4,29.0,,2.0,,0
2022-04-09,2022,4,44.0,,,,0
2022-04-10,2022,4,58.0,4.0,,,0
2022-04-11,2022,4,23.0,,,,0
2022-04-12,2022,4,96.0,,,,0
2022-04-13,2022,4,98.0,18.0,2.0,2.0,0
2022-04-14,2022,4,403.0,18.0,2.0,7.0,0
2022-04-15,2022,4,123.0,4.0,2.0,4.0,0
2022-04-16,2022,4,73.0,2.0,,2.0,0
2022-04-17,2022,4,42.0,2.0,,,0
2022-04-18,2022,4,8.0,,,,0
2022-04-19,2022,4,43.0,7.0,4.0,,0
2022-04-20,2022,4,43.0,,,,0
2022-04-21,2022,4,223.0,9.0,7.0,,0
2022-04-23,2022,4,513.0,15.0,4.0,,0
2022-05-04,2022,5,817.0,11.0,,,0
2022-05-06,2022,5,272.0,,,6.0,0
2022-05-07,2022,5,338.0,,,,0
2022-05-08,2022,5,322.0,,11.0,6.0,0
2022-05-09,2022,5,299.0,11.0,,,0
2022-05-10,2022,5,556.0,20.0,11.0,9.0,0
2022-05-11,2022,5,731.0,17.0,,,0
2022-05-12,2022,5,520.0,22.0,,6.0,0
2022-05-13,2022,5,266.0,,6.0,,0
2022-05-14,2022,5,150.0,,,,0
2022-05-15,2022,5,498.0,6.0,,6.0,0
2022-05-16,2022,5,470.0,,,6.0,0
2022-05-17,2022,5,1642.0,29.0,11.0,39.0,0
2022-05-18,2022,5,191.0,,8.0,4.0,0
2022-05-19,2022,5,24.0,2.0,,2.0,0
2022-05-20,2022,5,92.0,9.0,,,0
2022-05-26,2022,5,24.0,,3.0,5.0,0
2022-05-27,2022,5,106.0,,,17.0,0
2022-05-28,2022,5,100.0,,,,0
2022-05-29,2022,5,211.0,17.0,17.0,22.0,0
2022-05-30,2022,5,239.0,11.0,,44.0,0
2022-05-31,2022,5,316.0,22.0,6.0,50.0,0
2022-06-01,2022,6,4.0,4.0,6.0,15.0,0
2022-06-02,2022,6,22.0,,,,0
2022-06-03,2022,6,199.0,,2.0,11.0,0
2022-06-04,2022,6,172.0,4.0,6.0,22.0,0
2022-06-05,2022,6,105.0,2.0,6.0,24.0,0
2022-06-06,2022,6,56.0,11.0,2.0,24.0,0
2022-06-07,2022,6,30.0,7.0,6.0,4.0,0
2022-06-08,2022,6,15.0,2.0,2.0,11.0,0
2022-06-09,2022,6,27.0,4.0,2.0,11.0,0
2022-06-10,2022,6,49.0,4.0,19.0,22.0,0
2022-06-11,2022,6,39.0,4.0,8.0,17.0,0
2022-06-12,2022,6,17.0,,2.0,4.0,0
2022-06-13,2022,6,11.0,,,27.0,0
2022-06-14,2022,6,33.0,,7.0,31.0,0
2022-06-15,2022,6,46.0,7.0,10.0,2.0,0
2022-06-16,2022,6,6.0,2.0,,,0
2022-06-17,2022,6,28.0,,4.0,13.0,0
2022-06-18,2022,6,6.0,9.0,6.0,13.0,0
2022-06-19,2022,6,9.0,,4.0,2.0,0
2022-06-20,2022,6,4.0,4.0,,4.0,0
2022-06-21,2022,6,,,7.0,9.0,0
2022-06-22,2022,6,4.0,7.0,,2.0,0
2022-06-23,2022,6,,,4.0,,0
2022-06-24,2022,6,2.0,2.0,4.0,,0
2022-06-25,2022,6,2.0,2.0,6.0,4.0,0
2022-06-26,2022,6,2.0,7.0,2.0,2.0,0
2022-06-27,2022,6,4.0,4.0,4.0,7.0,0
2022-06-28,2022,6,4.0,2.0,12.0,9.0,0
2022-06-29,2022,6,,,2.0,,0
2022-06-30,2022,6,2.0,9.0,15.0,15.0,0
2022-07-01,2022,7,,2.0,15.0,4.0,0
2022-07-02,2022,7,2.0,2.0,11.0,2.0,0
2022-07-03,2022,7,2.0,7.0,6.0,15.0,0
2022-07-04,2022,7,,,6.0,2.0,0
2022-07-05,2022,7,,,,4.0,0
2022-07-06,2022,7,2.0,,,2.0,0
2022-07-07,2022,7,2.0,,,9.0,0
2022-07-08,2022,7,,2.0,,2.0,0
2022-07-09,2022,7,6.0,4.0,4.0,4.0,0
2022-07-10,2022,7,,,2.0,,0
2022-07-11,2022,7,2.0,,,,0
2022-07-12,2022,7,2.0,,2.0,,0
2022-07-13,2022,7,2.0,,2.0,,0
2022-07-15,2022,7,,2.0,,4.0,0
2022-07-16,2022,7,,4.0,6.0,,0
2022-07-17,2022,7,,,,,0
2022-07-18,2022,7,4.0,,6.0,,0
2022-07-19,2022,7,,,6.0,2.0,0
2022-07-20,2022,7,,7.0,2.0,4.0,0
2022-07-21,2022,7,,,2.0,,0
2022-07-22,2022,7,2.0,4.0,8.0,2.0,0
2022-07-23,2022,7,2.0,,,,0
2022-07-24,2022,7,4.0,,8.0,2.0,0
2022-07-25,2022,7,4.0,2.0,2.0,,0
2022-07-26,2022,7,11.0,4.0,8.0,,0
2022-07-27,2022,7,,,6.0,4.0,0
2022-07-28,2022,7,,,,,0
2022-07-29,2022,7,6.0,2.0,2.0,2.0,0
2022-07-30,2022,7,2.0,,2.0,,0
2022-07-31,2022,7,,,,,0
2022-08-01,2022,8,,,2.0,,0
2022-08-02,2022,8,,,,,0
2022-08-03,2022,8,,,,,0
2022-08-04,2022,8,,,,,0
2022-08-05,2022,8,,,,,0
2022-08-06,2022,8,,,,,0
2022-08-07,2022,8,,2.0,,,0
2022-08-08,2022,8,,4.0,,,0
2022-08-09,2022,8,,2.0,4.0,,0
2022-08-10,2022,8,,,,,0
2022-08-11,2022,8,,,,,0
2022-08-12,2022,8,,,,,0
2022-08-13,2022,8,,,,,0
2022-08-14,2022,8,,,,,0
2022-08-15,2022,8,,,,,0
2022-08-16,2022,8,,,,,0
2022-08-17,2022,8,,2.0,,2.0,0
2022-08-18,2022,8,,2.0,,,0
2022-08-19,2022,8,,,2.0,,0
2022-08-20,2022,8,,,2.0,2.0,0
2022-08-21,2022,8,,,2.0,2.0,0
2022-08-22,2022,8,,,4.0,,0
2022-08-23,2022,8,,2.0,2.0,,0
2022-08-24,2022,8,,,13.0,,0
2022-08-25,2022,8,,,13.0,2.0,0
2022-08-26,2022,8,,,4.0,,0
2022-08-27,2022,8,,,13.0,,0
2022-08-28,2022,8,2.0,2.0,4.0,,0
2022-08-29,2022,8,2.0,2.0,8.0,,0
2022-08-30,2022,8,2.0,2.0,14.0,2.0,0
2022-08-31,2022,8,,,9.0,,0
2022-09-01,2022,9,,,2.0,2.0,0
2022-09-03,2022,9,,,4.0,,0
2022-09-04,2022,9,,2.0,13.0,26.0,0
2022-09-05,2022,9,2.0,,4.0,9.0,0
2022-09-06,2022,9,,,,,0
2022-09-07,2022,9,,,4.0,9.0,0
2022-09-08,2022,9,,,3.0,9.0,0
2022-09-09,2022,9,2.0,2.0,,13.0,0
2022-09-10,2022,9,9.0,,19.0,38.0,0
2022-09-11,2022,9,29.0,2.0,69.0,11.0,0
2022-09-12,2022,9,4.0,4.0,27.0,33.0,0
2022-09-13,2022,9,20.0,,12.0,62.0,0
2022-09-14,2022,9,40.0,,48.0,44.0,0
2022-09-15,2022,9,99.0,,55.0,24.0,0
2022-09-16,2022,9,71.0,,18.0,22.0,0
2022-09-21,2022,9,2.0,,28.0,2.0,0
2022-09-22,2022,9,17.0,,4.0,7.0,0
2022-09-23,2022,9,33.0,2.0,15.0,11.0,0
2022-09-24,2022,9,29.0,,6.0,4.0,0
2022-09-25,2022,9,11.0,,6.0,,0
2022-09-26,2022,9,4.0,,13.0,2.0,0
2022-09-27,2022,9,2.0,4.0,19.0,4.0,0
2022-09-28,2022,9,2.0,,10.0,2.0,0
2022-09-29,2022,9,2.0,,2.0,,0
2022-09-30,2022,9,,2.0,,,0
2022-10-01,2022,10,2.0,,2.0,2.0,0
2022-10-02,2022,10,4.0,,4.0,,0
2022-10-03,2022,10,4.0,,2.0,,0
2022-10-04,2022,10,,,,2.0,0
2022-10-05,2022,10,9.0,2.0,2.0,,0
2022-10-06,2022,10,7.0,,6.0,2.0,0
2022-10-07,2022,10,,,,2.0,0
2022-10-08,2022,10,2.0,2.0,,,0
2022-10-09,2022,10,,,4.0,,0
2022-10-10,2022,10,2.0,,,,0
