year,month,n_days,TREE_avg,TREE_max,WEED_avg,WEED_max,GRASS_avg,GRASS_max,MOLD_avg,MOLD_max
2022,3,31,81.64285714285714,518.0,2.5,3.0,2.0,2.0,0.0,0
2022,4,22,88.68181818181819,513.0,3.2857142857142856,7.0,3.75,7.0,0.0,0
2022,5,22,372.0,1642.0,9.125,17.0,15.857142857142858,50.0,0.0,0
2022,6,30,33.25925925925926,199.0,5.92,19.0,12.2,31.0,0.0,0
2022,7,30,3.4375,11.0,5.3,15.0,4.0,15.0,0.0,0
2022,8,31,2.0,2.0,6.4,14.0,2.0,2.0,0.0,0
2022,9,25,21.0,99.0,17.318181818181817,69.0,16.7,62.0,0.0,0
2022,10,31,3.230769230769231,9.0,4.764705882352941,13.0,2.5,4.0,0.0,0
2023,3,30,52.36666666666667,217.0,2.0,2.0,2.0,2.0,0.0,0
2023,4,30,359.4,1941.0,4.25,9.0,2.5714285714285716,4.0,0.0,0
2023,5,28,121.71428571428571,475.0,3.45,13.0,4.294117647058823,11.0,0.0,0
2023,6,30,36.6,197.0,4.142857142857143,13.0,4.666666666666667,13.0,0.0,0
2023,7,31,5.235294117647059,16.0,10.68,40.0,4.25,13.0,0.0,0
2023,8,31,2.5,4.0,12.866666666666667,53.0,3.736842105263158,29.0,0.0,0
2023,9,29,6.571428571428571,15.0,9.681818181818182,41.0,15.923076923076923,53.0,0.0,0
2023,10,31,3.625,9.0,3.75,7.0,2.0,2.0,0.0,0
2024,3,30,35.89655172413793,178.0,4.0,4.0,,,0.0,0
2024,4,29,146.89285714285714,526.0,3.888888888888889,7.0,3.230769230769231,11.0,0.0,0
2024,5,29,191.89655172413794,857.0,9.736842105263158,50.0,12.88,66.0,0.0,0
2024,6,30,15.814814814814815,110.0,6.592592592592593,19.0,8.842105263157896,40.0,0.0,0
2024,7,30,2.933333333333333,6.0,4.65,14.0,3.1538461538461537,7.0,0.0,0
2024,8,31,4.882352941176471,24.0,11.6,29.0,4.363636363636363,9.0,0.0,0
2024,9,30,36.75,223.0,16.5,46.0,16.88,110.0,0.0,0
2024,10,31,3.3,7.0,3.9411764705882355,8.0,3.642857142857143,9.0,0.0,0
2025,3,26,137.52,552.0,2.0,2.0,,,0.0,0
2025,4,30,540.1666666666666,2946.0,6.444444444444445,17.0,4.0,6.0,0.0,0
2025,5,31,186.23333333333332,974.0,8.272727272727273,42.0,7.153846153846154,22.0,0.0,0
2025,6,30,19.416666666666668,91.0,5.043478260869565,20.0,6.428571428571429,15.0,0.0,0
2025,7,30,2.6666666666666665,4.0,16.958333333333332,82.0,3.8333333333333335,11.0,0.0,0
2025,8,31,10.052631578947368,75.0,14.814814814814815,75.0,4.857142857142857,11.0,0.0,0
2025,9,30,11.833333333333334,46.0,6.16,17.0,6.222222222222222,20.0,0.0,0
2025,10,31,2.6666666666666665,4.0,3.0555555555555554,7.0,3.125,11.0,0.0,0
