Ind1Name;Dim1Name;Dim1Value;Dim2Name;Dim2Value;Date;number_of_visits
Asthma;Borough;Bronx;Age Group;All age groups;2022-03-01;1406
Asthma;Borough;Bronx;Age Group;All age groups;2022-04-01;1290
Asthma;Borough;Bronx;Age Group;All age groups;2022-05-01;1789
Asthma;Borough;Bronx;Age Group;All age groups;2022-06-01;1309
Asthma;Borough;Bronx;Age Group;All age groups;2022-07-01;1060
Asthma;Borough;Bronx;Age Group;All age groups;2022-08-01;1153
Asthma;Borough;Bronx;Age Group;All age groups;2022-09-01;1672
Asthma;Borough;Bronx;Age Group;All age groups;2022-10-01;1910
Asthma;Borough;Bronx;Age Group;All age groups;2023-03-01;1657
Asthma;Borough;Bronx;Age Group;All age groups;2023-04-01;1622
Asthma;Borough;Bronx;Age Group;All age groups;2023-05-01;1721
Asthma;Borough;Bronx;Age Group;All age groups;2023-06-01;1479
Asthma;Borough;Bronx;Age Group;All age groups;2023-07-01;1212
Asthma;Borough;Bronx;Age Group;All age groups;2023-08-01;1134
Asthma;Borough;Bronx;Age Group;All age groups;2023-09-01;1473
Asthma;Borough;Bronx;Age Group;All age groups;2023-10-01;1733
Asthma;Borough;Bronx;Age Group;All age groups;2024-03-01;1359
Asthma;Borough;Bronx;Age Group;All age groups;2024-04-01;1371
Asthma;Borough;Bronx;Age Group;All age groups;2024-05-01;1732
Asthma;Borough;Bronx;Age Group;All age groups;2024-06-01;1182
Asthma;Borough;Bronx;Age Group;All age groups;2024-07-01;1172
Asthma;Borough;Bronx;Age Group;All age groups;2024-08-01;1190
Asthma;Borough;Bronx;Age Group;All age groups;2024-09-01;1734
Asthma;Borough;Bronx;Age Group;All age groups;2024-10-01;1859
Asthma;Borough;Bronx;Age Group;All age groups;2025-03-01;1419
Asthma;Borough;Bronx;Age Group;All age groups;2025-04-01;1577
Asthma;Borough;Bronx;Age Group;All age groups;2025-05-01;1711
Asthma;Borough;Bronx;Age Group;All age groups;2025-06-01;1244
Asthma;Borough;Bronx;Age Group;All age groups;2025-07-01;1061
Asthma;Borough;Bronx;Age Group;All age groups;2025-08-01;1126
Asthma;Borough;Bronx;Age Group;All age groups;2025-09-01;1545
Asthma;Borough;Bronx;Age Group;All age groups;2025-10-01;1571
Asthma;Borough;Brooklyn;Age Group;All age groups;2022-03-01;1642
Asthma;Borough;Brooklyn;Age Group;All age groups;2022-04-01;1540
Asthma;Borough;Brooklyn;Age Group;All age groups;2022-05-01;2155
Asthma;Borough;Brooklyn;Age Group;All age groups;2022-06-01;1508
Asthma;Borough;Brooklyn;Age Group;All age groups;2022-07-01;1377
Asthma;Borough;Brooklyn;Age Group;All age groups;2022-08-01;1308
Asthma;Borough;Brooklyn;Age Group;All age groups;2022-09-01;1827
Asthma;Borough;Brooklyn;Age Group;All age groups;2022-10-01;2066
Asthma;Borough;Brooklyn;Age Group;All age groups;2023-03-01;1633
Asthma;Borough;Brooklyn;Age Group;All age groups;2023-04-01;1914
Asthma;Borough;Brooklyn;Age Group;All age groups;2023-05-01;1931
Asthma;Borough;Brooklyn;Age Group;All age groups;2023-06-01;1760
Asthma;Borough;Brooklyn;Age Group;All age groups;2023-07-01;1442
Asthma;Borough;Brooklyn;Age Group;All age groups;2023-08-01;1449
Asthma;Borough;Brooklyn;Age Group;All age groups;2023-09-01;1753
Asthma;Borough;Brooklyn;Age Group;All age groups;2023-10-01;2030
Asthma;Borough;Brooklyn;Age Group;All age groups;2024-03-01;1538
Asthma;Borough;Brooklyn;Age Group;All age groups;2024-04-01;1636
Asthma;Borough;Brooklyn;Age Group;All age groups;2024-05-01;1928
Asthma;Borough;Brooklyn;Age Group;All age groups;2024-06-01;1406
Asthma;Borough;Brooklyn;Age Group;All age groups;2024-07-01;1334
Asthma;Borough;Brooklyn;Age Group;All age groups;2024-08-01;1423
Asthma;Borough;Brooklyn;Age Group;All age groups;2024-09-01;1775
Asthma;Borough;Brooklyn;Age Group;All age groups;2024-10-01;1834
Asthma;Borough;Brooklyn;Age Group;All age groups;2025-03-01;1558
Asthma;Borough;Brooklyn;Age Group;All age groups;2025-04-01;1784
Asthma;Borough;Brooklyn;Age Group;All age groups;2025-05-01;1973
Asthma;Borough;Brooklyn;Age Group;All age groups;2025-06-01;1433
Asthma;Borough;Brooklyn;Age Group;All age groups;2025-07-01;1376
Asthma;Borough;Brooklyn;Age Group;All age groups;2025-08-01;1437
Asthma;Borough;Brooklyn;Age Group;All age groups;2025-09-01;1716
Asthma;Borough;Brooklyn;Age Group;All age groups;2025-10-01;1699
Asthma;Borough;Manhattan;Age Group;All age groups;2022-03-01;982
Asthma;Borough;Manhattan;Age Group;All age groups;2022-04-01;888
Asthma;Borough;Manhattan;Age Group;All age groups;2022-05-01;1135
Asthma;Borough;Manhattan;Age Group;All age groups;2022-06-01;802
Asthma;Borough;Manhattan;Age Group;All age groups;2022-07-01;681
Asthma;Borough;Manhattan;Age Group;All age groups;2022-08-01;690
Asthma;Borough;Manhattan;Age Group;All age groups;2022-09-01;969
Asthma;Borough;Manhattan;Age Group;All age groups;2022-10-01;1080
Asthma;Borough;Manhattan;Age Group;All age groups;2023-03-01;927
Asthma;Borough;Manhattan;Age Group;All age groups;2023-04-01;898
Asthma;Borough;Manhattan;Age Group;All age groups;2023-05-01;1004
Asthma;Borough;Manhattan;Age Group;All age groups;2023-06-01;901
Asthma;Borough;Manhattan;Age Group;All age groups;2023-07-01;750
Asthma;Borough;Manhattan;Age Group;All age groups;2023-08-01;755
Asthma;Borough;Manhattan;Age Group;All age groups;2023-09-01;820
Asthma;Borough;Manhattan;Age Group;All age groups;2023-10-01;955
Asthma;Borough;Manhattan;Age Group;All age groups;2024-03-01;863
Asthma;Borough;Manhattan;Age Group;All age groups;2024-04-01;950
Asthma;Borough;Manhattan;Age Group;All age groups;2024-05-01;1005
Asthma;Borough;Manhattan;Age Group;All age groups;2024-06-01;751
Asthma;Borough;Manhattan;Age Group;All age groups;2024-07-01;776
Asthma;Borough;Manhattan;Age Group;All age groups;2024-08-01;707
Asthma;Borough;Manhattan;Age Group;All age groups;2024-09-01;918
Asthma;Borough;Manhattan;Age Group;All age groups;2024-10-01;983
Asthma;Borough;Manhattan;Age Group;All age groups;2025-03-01;809
Asthma;Borough;Manhattan;Age Group;All age groups;2025-04-01;866
Asthma;Borough;Manhattan;Age Group;All age groups;2025-05-01;942
Asthma;Borough;Manhattan;Age Group;All age groups;2025-06-01;745
Asthma;Borough;Manhattan;Age Group;All age groups;2025-07-01;681
Asthma;Borough;Manhattan;Age Group;All age groups;2025-08-01;678
Asthma;Borough;Manhattan;Age Group;All age groups;2025-09-01;915
Asthma;Borough;Manhattan;Age Group;All age groups;2025-10-01;869
Asthma;Borough;Queens;Age Group;All age groups;2022-03-01;873
Asthma;Borough;Queens;Age Group;All age groups;2022-04-01;780
Asthma;Borough;Queens;Age Group;All age groups;2022-05-01;993
Asthma;Borough;Queens;Age Group;All age groups;2022-06-01;705
Asthma;Borough;Queens;Age Group;All age groups;2022-07-01;625
Asthma;Borough;Queens;Age Group;All age groups;2022-08-01;622
Asthma;Borough;Queens;Age Group;All age groups;2022-09-01;940
Asthma;Borough;Queens;Age Group;All age groups;2022-10-01;1071
Asthma;Borough;Queens;Age Group;All age groups;2023-03-01;934
Asthma;Borough;Queens;Age Group;All age groups;2023-04-01;1099
Asthma;Borough;Queens;Age Group;All age groups;2023-05-01;931
Asthma;Borough;Queens;Age Group;All age groups;2023-06-01;864
Asthma;Borough;Queens;Age Group;All age groups;2023-07-01;755
Asthma;Borough;Queens;Age Group;All age groups;2023-08-01;733
Asthma;Borough;Queens;Age Group;All age groups;2023-09-01;909
Asthma;Borough;Queens;Age Group;All age groups;2023-10-01;955
Asthma;Borough;Queens;Age Group;All age groups;2024-03-01;827
Asthma;Borough;Queens;Age Group;All age groups;2024-04-01;824
Asthma;Borough;Queens;Age Group;All age groups;2024-05-01;1013
