unique_key,created_date,closed_date,complaint_type,descriptor,incident_zip,latitude,longitude,borough,community_board,bbl
45285416,2020-01-01T07:42:00.000,2020-01-02T15:45:00.000,Air Quality,"Air: Odor/Fumes, Restaurant (AD2)",10314,40.612034696062125,-74.13731846061239,STATEN ISLAND,01 STATEN ISLAND,5007350081
45285909,2020-01-01T13:51:00.000,2020-01-03T09:00:00.000,Air Quality,"Air: Smoke, Chimney or vent (AS1)",11225,40.66906109545815,-73.95934890437844,BROOKLYN,09 BROOKLYN,3011870064
45287716,2020-01-01T14:04:00.000,2020-01-02T15:45:00.000,Air Quality,"Air: Dust, Construction/Demolition (AE4)",11385,40.7060629366189,-73.90673225779969,QUEENS,05 QUEENS,4034770029
45288921,2020-01-01T16:23:00.000,2020-01-02T12:00:00.000,Air Quality,"Air: Smoke, Chimney or vent (AS1)",10031,40.82388691720712,-73.95230620215838,MANHATTAN,09 MANHATTAN,
45285908,2020-01-01T17:46:00.000,2020-01-03T14:00:00.000,Air Quality,"Air: Odor/Fumes, Vehicle Idling (AD3)",11354,40.758962536095325,-73.8298412521728,QUEENS,07 QUEENS,
45286840,2020-01-01T20:58:00.000,2020-01-02T07:27:00.000,Air Quality,"Air: Odor/Fumes, Vehicle Idling (AD3)",11354,40.77302428905871,-73.8436981910983,QUEENS,07 QUEENS,
45296681,2020-01-02T00:50:00.000,2020-01-02T07:27:00.000,Air Quality,"Air: Odor/Fumes, Vehicle Idling (AD3)",10014,40.73713556076438,-74.00579519000605,MANHATTAN,02 MANHATTAN,1006240020
45292942,2020-01-02T07:08:00.000,2020-01-08T07:00:00.000,Air Quality,"Air: Odor/Fumes, Vehicle Idling (AD3)",11234,40.609636018572694,-73.91377118920353,BROOKLYN,18 BROOKLYN,
45297670,2020-01-02T07:32:00.000,2020-01-08T14:15:00.000,Air Quality,"Air: Odor/Fumes, Vehicle Idling (AD3)",11226,40.64947213025689,-73.96088161008812,BROOKLYN,14 BROOKLYN,3051010090
45295396,2020-01-02T08:06:00.000,2020-01-03T14:00:00.000,Air Quality,"Air: Odor/Fumes, Vehicle Idling (AD3)",11385,40.69776184238684,-73.89913450764097,QUEENS,05 QUEENS,4035780068
45295322,2020-01-02T08:26:00.000,2020-01-03T14:00:00.000,Air Quality,"Air: Smoke, Chimney or vent (AS1)",10025,40.8042865127633,-73.96698538358774,MANHATTAN,09 MANHATTAN,1018940011
45290137,2020-01-02T08:59:00.000,2020-01-07T09:13:00.000,Air Quality,"Air: Odor/Fumes, Vehicle Idling (AD3)",10011,40.74000393868024,-73.99720693015776,MANHATTAN,04 MANHATTAN,1007920062
45291708,2020-01-02T09:42:00.000,2020-01-03T13:00:00.000,Air Quality,"Air: Odor/Fumes, Vehicle Idling (AD3)",10029,40.79376224221732,-73.93796833246368,MANHATTAN,11 MANHATTAN,1016830033
45291181,2020-01-02T10:55:00.000,2020-01-03T11:15:00.000,Air Quality,"Air: Smoke, Chimney or vent (AS1)",10022,40.7568817638864,-73.96553619022389,MANHATTAN,06 MANHATTAN,1013460032
45291195,2020-01-02T11:22:00.000,2020-01-06T11:30:00.000,Air Quality,"Air: Smoke, Chimney or vent (AS1)",10011,40.74642931599236,-74.00519330122299,MANHATTAN,04 MANHATTAN,1006927502
45295502,2020-01-02T12:12:00.000,2020-01-06T09:00:00.000,Air Quality,"Air: Odor/Fumes, Vehicle Idling (AD3)",10021,40.769750280094,-73.96060156755252,MANHATTAN,08 MANHATTAN,
45289997,2020-01-02T12:52:00.000,2020-01-03T11:15:00.000,Air Quality,"Air: Dust, Other (Use Comments) (AE5)",11214,40.58471700012699,-73.9837557780386,BROOKLYN,13 BROOKLYN,3069540045
45292935,2020-01-02T12:55:00.000,2020-01-03T12:00:00.000,Air Quality,"Air: Odor/Fumes, Restaurant (AD2)",10024,40.79035318253556,-73.97338437651759,MANHATTAN,07 MANHATTAN,1012387503
45295424,2020-01-02T13:10:00.000,2020-01-06T15:45:00.000,Air Quality,"Air: Dust, Other (Use Comments) (AE5)",11214,40.58481021452675,-73.98300330696782,BROOKLYN,13 BROOKLYN,
45298781,2020-01-02T13:41:00.000,2020-01-06T13:45:00.000,Air Quality,"Air: Odor/Fumes, Restaurant (AD2)",10032,40.84442752068366,-73.93892224360867,MANHATTAN,12 MANHATTAN,1021420109
45294080,2020-01-02T14:22:00.000,2020-01-06T12:15:00.000,Air Quality,"Air: Odor/Fumes, Vehicle Idling (AD3)",11218,40.65350292223476,-73.97622842156524,BROOKLYN,07 BROOKLYN,
45292576,2020-01-02T15:44:00.000,2020-01-08T14:22:00.000,Air Quality,"Air: Smoke, Chimney or vent (AS1)",10031,40.82285274357415,-73.95374134832547,MANHATTAN,09 MANHATTAN,1020870041
45296673,2020-01-02T16:42:00.000,2020-01-06T12:00:00.000,Air Quality,"Air: Odor/Fumes, Restaurant (AD2)",10040,40.857175780096576,-73.9323999650772,MANHATTAN,12 MANHATTAN,1021800507
45297766,2020-01-02T17:31:00.000,2020-01-08T21:45:00.000,Air Quality,"Air: Odor/Fumes, Restaurant (AD2)",10032,40.83879341512027,-73.9404163746114,MANHATTAN,12 MANHATTAN,1021220077
45291655,2020-01-02T18:26:00.000,2020-01-08T23:15:00.000,Air Quality,"Air: Odor/Fumes, Restaurant (AD2)",11375,40.726560937201256,-73.851859989591,QUEENS,06 QUEENS,4021350006
45294605,2020-01-02T19:18:00.000,2020-01-06T21:00:00.000,Air Quality,"Air: Odor, Nail Salon (AD8)",11415,40.712776288483404,-73.83345809398463,QUEENS,09 QUEENS,4033350030
45295441,2020-01-02T19:43:00.000,2020-01-06T22:30:00.000,Air Quality,"Air: Odor/Fumes, Restaurant (AD2)",10025,40.79889583036276,-73.9668471965259,MANHATTAN,07 MANHATTAN,1018750036
45291602,2020-01-02T20:31:00.000,2020-01-03T22:30:00.000,Air Quality,"Air: Dust, Other (Use Comments) (AE5)",10461,40.85165293060271,-73.82858117650478,BRONX,10 BRONX,2042380027
45302039,2020-01-03T03:36:00.000,2020-01-08T07:11:00.000,Air Quality,"Air: Odor/Fumes, Vehicle Idling (AD3)",10011,40.74000393868024,-73.99720693015776,MANHATTAN,04 MANHATTAN,1007920062
45302042,2020-01-03T08:29:00.000,2020-01-10T08:15:00.000,Air Quality,"Air: Odor/Fumes, Vehicle Idling (AD3)",11226,40.636911837639865,-73.96042778355236,BROOKLYN,14 BROOKLYN,3052180001
45300993,2020-01-03T09:05:00.000,2020-01-07T13:30:00.000,Air Quality,"Air: Odor/Fumes, Vehicle Idling (AD3)",10011,40.74000393868024,-73.99720693015776,MANHATTAN,04 MANHATTAN,1007920062
45305118,2020-01-03T09:23:00.000,2020-01-06T12:00:00.000,Air Quality,"Air: Odor/Fumes, Vehicle Idling (AD3)",11222,40.73672171920677,-73.95771269460906,BROOKLYN,01 BROOKLYN,3024727501
45300120,2020-01-03T09:35:00.000,2020-01-08T14:27:00.000,Air Quality,"Air: Smoke, Chimney or vent (AS1)",10031,40.82285274357415,-73.95374134832547,MANHATTAN,09 MANHATTAN,1020870041
45304688,2020-01-03T10:03:00.000,2020-01-06T13:00:00.000,Air Quality,"Air: Odor/Fumes, Restaurant (AD2)",10029,40.79166963111359,-73.94668824678368,MANHATTAN,11 MANHATTAN,1016330019
45303085,2020-01-03T10:40:00.000,2020-01-22T12:15:00.000,Air Quality,"Air: Odor/Fumes, Vehicle Idling (AD3)",11238,40.67473883279887,-73.9639707694505,BROOKLYN,08 BROOKLYN,3011730043
45300126,2020-01-03T10:46:00.000,2020-01-06T11:45:00.000,Air Quality,"Air: Smoke, Chimney or vent (AS1)",10031,40.82285274357415,-73.95374134832547,MANHATTAN,09 MANHATTAN,1020870041
45302040,2020-01-03T10:52:00.000,2020-01-06T12:00:00.000,Air Quality,"Air: Odor/Fumes, Vehicle Idling (AD3)",11237,40.70508355103831,-73.93076526068702,BROOKLYN,01 BROOKLYN,3030080022
45305552,2020-01-03T11:05:00.000,2020-01-03T15:45:00.000,Air Quality,Air: Other Air Problem (Use Comments) (AZZ),10314,40.59017684976501,-74.19004644032819,STATEN ISLAND,02 STATEN ISLAND,5026360011
45305113,2020-01-03T12:11:00.000,2020-01-06T11:00:00.000,Air Quality,"Air: Odor/Fumes, Vehicle Idling (AD3)",10040,40.85856488364563,-73.9283243902081,MANHATTAN,12 MANHATTAN,1021700134
45302268,2020-01-03T12:45:00.000,2020-01-10T06:30:00.000,Air Quality,"Air: Smoke, Chimney or vent (AS1)",11211,40.706793854142205,-73.9531654456665,BROOKLYN,01 BROOKLYN,3024640026
45304858,2020-01-03T13:01:00.000,2020-01-06T11:00:00.000,Air Quality,"Air: Smoke, Chimney or vent (AS1)",11205,40.69205559706509,-73.96395780606423,BROOKLYN,02 BROOKLYN,3019200001
45300129,2020-01-03T13:25:00.000,2020-01-08T13:15:00.000,Air Quality,"Air: Smoke, Chimney or vent (AS1)",10034,40.866509408014366,-73.93055742697561,MANHATTAN,12 MANHATTAN,1022460130
45302041,2020-01-03T13:34:00.000,2020-01-06T10:45:00.000,Air Quality,"Air: Odor/Fumes, Vehicle Idling (AD3)",11358,40.76656442803333,-73.79084756841331,QUEENS,11 QUEENS,4052590019
45305114,2020-01-03T14:20:00.000,2020-01-06T08:31:00.000,Air Quality,Air: Other Air Problem (Use Comments) (AZZ),11419,40.69104604516317,-73.82074000836708,QUEENS,09 QUEENS,4094920057
45306359,2020-01-03T14:37:00.000,2020-01-07T09:30:00.000,Air Quality,"Air: Dust, Construction/Demolition (AE4)",10466,40.885029986759804,-73.84314553903494,BRONX,12 BRONX,
45305112,2020-01-03T14:46:00.000,2020-01-06T10:30:00.000,Air Quality,"Air: Odor/Fumes, Vehicle Idling (AD3)",11209,40.631464139750044,-74.02779160103339,BROOKLYN,10 BROOKLYN,
45300118,2020-01-03T14:49:00.000,2020-01-06T14:00:00.000,Air Quality,"Air: Dust, Other (Use Comments) (AE5)",11419,40.69104604516317,-73.82074000836708,QUEENS,09 QUEENS,4094920057
45302470,2020-01-03T15:31:00.000,2020-01-06T15:45:00.000,Air Quality,"Air: Odor/Fumes, Restaurant (AD2)",10003,40.72442166089238,-73.99115013131947,MANHATTAN,03 MANHATTAN,1004570028
45306342,2020-01-03T15:34:00.000,2020-01-06T15:45:00.000,Air Quality,"Air: Smoke, Chimney or vent (AS1)",10019,40.76577611979318,-73.98465022140748,MANHATTAN,04 MANHATTAN,1010460021
45304096,2020-01-03T16:32:00.000,2020-01-07T12:20:00.000,Air Quality,"Air: Odor/Fumes, Vehicle Idling (AD3)",10036,40.75853364873267,-73.99480214541363,MANHATTAN,04 MANHATTAN,1010500049
45301406,2020-01-03T16:47:00.000,2020-01-07T15:30:00.000,Air Quality,"Air: Odor/Fumes, Restaurant (AD2)",10025,40.79889583036276,-73.9668471965259,MANHATTAN,07 MANHATTAN,1018750036
45299910,2020-01-03T18:42:00.000,2020-01-06T07:04:00.000,Air Quality,"Air: Odor/Fumes, Vehicle Idling (AD3)",11211,40.71272883085208,-73.93750628170037,BROOKLYN,01 BROOKLYN,3029230015
45307657,2020-01-04T07:31:00.000,2020-01-10T12:00:00.000,Air Quality,"Air: Odor/Fumes, Vehicle Idling (AD3)",10014,40.7276386258744,-74.00728083861094,MANHATTAN,02 MANHATTAN,1005980058
45307643,2020-01-04T07:34:00.000,2020-01-10T11:15:00.000,Air Quality,"Air: Odor/Fumes, Vehicle Idling (AD3)",10014,40.73931491249697,-74.0054164786563,MANHATTAN,02 MANHATTAN,1006270009
45310312,2020-01-04T08:27:00.000,2020-01-10T09:00:00.000,Air Quality,"Air: Odor/Fumes, Vehicle Idling (AD3)",11210,40.632820332634815,-73.94896603002354,BROOKLYN,14 BROOKLYN,3075560007
45307315,2020-01-04T09:04:00.000,2020-01-06T13:15:00.000,Air Quality,"Air: Smoke, Chimney or vent (AS1)",10031,40.82732498552474,-73.94980691050269,MANHATTAN,09 MANHATTAN,1020930029
