nta_code,time,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max
BK0101,2019-01-01,14.5,4.1,9.6,33.6
BK0101,2019-01-02,3.8,-0.6,0.0,16.6
BK0101,2019-01-03,7.1,0.4,0.1,25.7
BK0101,2019-01-04,7.8,-1.1,0.0,21.4
BK0101,2019-01-05,7.4,3.8,17.3,26.0
BK0101,2019-01-06,8.9,0.1,0.2,30.8
BK0101,2019-01-07,0.2,-5.1,0.1,19.5
BK0101,2019-01-08,8.4,-0.2,0.5,16.6
BK0101,2019-01-09,6.9,0.6,3.1,35.6
BK0101,2019-01-10,0.8,-2.0,0.0,37.4
BK0101,2019-01-11,-1.3,-5.8,0.0,28.1
BK0101,2019-01-12,1.8,-6.4,0.0,13.5
BK0101,2019-01-13,-0.2,-4.1,0.7,16.6
BK0101,2019-01-14,0.8,-6.1,0.0,20.5
BK0101,2019-01-15,3.3,-6.1,0.0,10.2
BK0101,2019-01-16,4.6,-3.9,0.0,23.5
BK0101,2019-01-17,-0.1,-5.6,0.0,18.2
BK0101,2019-01-18,3.7,-2.0,1.5,11.9
BK0101,2019-01-19,3.3,-3.8,2.6,21.0
BK0101,2019-01-20,10.3,-10.2,32.1,32.5
BK0101,2019-01-21,-10.6,-14.9,0.0,37.4
BK0101,2019-01-22,-2.1,-11.6,0.0,21.9
BK0101,2019-01-23,8.1,-2.9,0.1,21.1
BK0101,2019-01-24,12.7,1.6,34.7,48.6
BK0101,2019-01-25,3.0,-3.3,0.0,34.7
BK0101,2019-01-26,0.8,-6.4,0.0,14.3
BK0101,2019-01-27,8.7,-2.7,0.0,32.1
BK0101,2019-01-28,2.0,-5.5,0.0,17.7
BK0101,2019-01-29,5.1,-5.8,5.0,23.4
BK0101,2019-01-30,0.6,-13.8,1.0,40.2
BK0101,2019-01-31,-8.4,-16.5,0.0,23.5
BK0101,2019-02-01,-5.2,-12.9,0.0,13.1
BK0101,2019-02-02,1.9,-10.8,0.0,25.0
BK0101,2019-02-03,9.0,-4.8,0.0,16.6
BK0101,2019-02-04,11.4,-2.2,0.0,15.2
BK0101,2019-02-05,17.0,0.6,0.0,14.4
BK0101,2019-02-06,7.2,-1.4,5.5,17.9
BK0101,2019-02-07,7.8,2.6,7.4,18.1
BK0101,2019-02-08,10.8,0.3,7.0,34.9
BK0101,2019-02-09,0.6,-5.0,0.0,33.1
BK0101,2019-02-10,2.8,-6.8,0.0,13.5
BK0101,2019-02-11,3.0,-2.0,0.4,11.3
BK0101,2019-02-12,1.3,-3.2,16.3,27.1
BK0101,2019-02-13,5.6,-1.4,2.9,33.5
BK0101,2019-02-14,6.9,-2.5,0.0,19.6
BK0101,2019-02-15,12.1,3.2,0.1,21.2
BK0101,2019-02-16,8.6,-1.6,0.0,22.2
BK0101,2019-02-17,2.0,-5.4,0.5,16.2
BK0101,2019-02-18,6.7,-3.0,4.8,29.7
BK0101,2019-02-19,2.3,-5.4,0.0,19.3
BK0101,2019-02-20,-0.2,-4.1,9.3,15.3
BK0101,2019-02-21,11.8,0.1,7.9,20.1
BK0101,2019-02-22,7.1,0.4,0.0,18.4
BK0101,2019-02-23,4.6,-2.3,1.0,12.7
BK0101,2019-02-24,9.9,2.3,19.3,40.2
BK0101,2019-02-25,5.4,-2.2,0.0,46.8
BK0101,2019-02-26,3.3,-4.6,0.0,28.7
BK0101,2019-02-27,-2.1,-5.2,0.4,18.6
BK0101,2019-02-28,2.7,-3.4,0.5,26.9
BK0101,2019-03-01,3.0,-3.6,1.8,12.2
BK0101,2019-03-02,3.2,-0.9,10.2,18.9
BK0101,2019-03-03,5.7,-2.5,8.3,14.3
BK0101,2019-03-04,2.3,-5.5,19.1,22.2
BK0101,2019-03-05,-0.4,-13.6,0.0,20.3
BK0101,2019-03-06,-3.1,-9.4,0.0,26.9
BK0101,2019-03-07,0.7,-9.1,0.2,27.8
BK0101,2019-03-08,2.4,-7.8,0.0,14.9
BK0101,2019-03-09,7.9,-4.8,0.0,12.6
BK0101,2019-03-10,10.1,1.0,13.1,28.0
BK0101,2019-03-11,10.9,2.0,0.0,27.1
BK0101,2019-03-12,5.1,-1.5,0.0,26.2
BK0101,2019-03-13,6.0,-4.6,0.0,18.3
BK0101,2019-03-14,10.6,1.3,0.0,23.9
BK0101,2019-03-15,20.9,9.3,15.2,26.2
BK0101,2019-03-16,13.1,2.9,0.0,32.2
BK0101,2019-03-17,5.7,-2.0,0.0,22.1
BK0101,2019-03-18,6.5,-3.6,0.0,16.2
BK0101,2019-03-19,8.0,-3.0,0.0,15.3
BK0101,2019-03-20,9.2,-1.5,0.0,23.9
BK0101,2019-03-21,9.1,3.2,15.1,25.0
BK0101,2019-03-22,9.6,3.7,15.3,39.1
BK0101,2019-03-23,8.6,-0.2,0.4,33.7
BK0101,2019-03-24,13.3,-1.5,0.0,22.8
BK0101,2019-03-25,9.6,5.3,1.0,15.8
BK0101,2019-03-26,7.8,-2.5,0.0,22.7
BK0101,2019-03-27,5.8,-2.7,0.0,15.9
BK0101,2019-03-28,8.4,-0.9,0.0,28.5
BK0101,2019-03-29,12.9,5.2,0.6,13.9
BK0101,2019-03-30,14.9,6.8,0.0,31.2
BK0101,2019-03-31,17.6,4.0,5.3,27.4
BK0101,2019-04-01,7.6,-0.9,0.0,32.1
BK0101,2019-04-02,8.7,-1.5,1.2,25.5
BK0101,2019-04-03,17.4,2.4,1.1,39.2
BK0101,2019-04-04,14.4,1.9,0.0,32.3
BK0101,2019-04-05,5.6,1.1,6.8,16.4
BK0101,2019-04-06,19.6,4.1,0.6,16.7
BK0101,2019-04-07,15.6,4.0,0.0,19.6
BK0101,2019-04-08,24.2,9.9,9.5,21.8
BK0101,2019-04-09,11.1,5.8,0.8,20.7
BK0101,2019-04-10,14.2,4.8,0.0,26.5
BK0101,2019-04-11,10.0,2.0,0.0,15.1
BK0101,2019-04-12,18.5,6.2,11.8,31.7
BK0101,2019-04-13,22.4,14.4,12.6,22.7
BK0101,2019-04-14,17.5,12.4,1.7,24.3
BK0101,2019-04-15,18.9,6.9,16.8,40.3
BK0101,2019-04-16,17.2,4.8,0.0,30.5
BK0101,2019-04-17,14.2,7.8,0.7,19.3
BK0101,2019-04-18,16.1,8.5,1.2,26.2
BK0101,2019-04-19,21.8,14.3,5.4,36.4
BK0101,2019-04-20,17.0,11.6,14.0,35.7
BK0101,2019-04-21,16.5,9.4,0.1,21.9
BK0101,2019-04-22,16.6,9.4,7.0,23.7
BK0101,2019-04-23,22.1,9.7,0.2,22.9
BK0101,2019-04-24,19.6,11.1,0.1,23.6
BK0101,2019-04-25,15.4,7.5,2.3,16.7
BK0101,2019-04-26,16.1,10.4,17.8,31.3
BK0101,2019-04-27,13.6,7.7,3.0,41.0
BK0101,2019-04-28,11.1,5.9,1.3,20.4
BK0101,2019-04-29,12.8,3.2,0.1,19.4
BK0101,2019-04-30,18.2,8.8,5.7,13.3
BK0101,2019-05-01,12.4,8.7,1.2,19.5
BK0101,2019-05-02,22.9,10.4,5.0,21.1
BK0101,2019-05-03,14.4,9.4,0.7,11.5
BK0101,2019-05-04,20.1,10.9,13.7,10.7
BK0101,2019-05-05,13.7,11.1,34.1,26.5
BK0101,2019-05-06,20.4,9.2,1.0,21.9
BK0101,2019-05-07,17.4,10.1,2.8,21.4
BK0101,2019-05-08,19.6,10.9,1.5,16.5
BK0101,2019-05-09,14.6,9.4,0.0,22.9
BK0101,2019-05-10,21.4,11.9,1.0,22.1
BK0101,2019-05-11,19.7,12.0,4.8,20.2
BK0101,2019-05-12,12.8,7.2,28.9,31.2
BK0101,2019-05-13,10.9,7.2,18.9,20.0
BK0101,2019-05-14,11.8,7.0,7.8,14.8
BK0101,2019-05-15,19.7,6.2,0.6,22.9
BK0101,2019-05-16,20.5,10.2,0.5,17.3
BK0101,2019-05-17,23.6,12.2,1.7,18.7
BK0101,2019-05-18,22.6,11.4,0.0,16.7
BK0101,2019-05-19,21.4,12.4,0.2,31.0
BK0101,2019-05-20,28.8,18.5,1.5,27.5
BK0101,2019-05-21,20.2,12.4,0.0,28.8
BK0101,2019-05-22,22.6,9.9,0.0,19.5
BK0101,2019-05-23,23.6,14.1,0.8,22.8
BK0101,2019-05-24,23.5,15.6,0.0,36.2
BK0101,2019-05-25,19.2,11.8,0.0,28.0
BK0101,2019-05-26,30.3,14.8,3.8,20.2
BK0101,2019-05-27,25.8,16.1,0.0,17.4
BK0101,2019-05-28,20.7,15.8,5.2,31.6
BK0101,2019-05-29,20.7,13.9,2.5,21.4
BK0101,2019-05-30,19.8,13.1,11.1,17.8
BK0101,2019-05-31,25.8,17.5,1.1,16.6
