Type,ForecastDate,Location,zip_code
pollen,2026-04-18T00:00:00-04:00,"{'ZIP': '07030', 'City': 'HOBOKEN', 'State': 'NJ', 'periods': [{'Period': '2026-03-20T05:30:33', 'Index': 6.9}, {'Period': '2026-03-21T05:30:33', 'Index': 6.8}, {'Period': '2026-03-22T05:30:33', 'Index': 6.6}, {'Period': '2026-03-23T05:30:33', 'Index': 2.7}, {'Period': '2026-03-24T05:30:33', 'Index': 7.8}, {'Period': '2026-03-25T05:30:33', 'Index': 7.6}, {'Period': '2026-03-26T05:30:33', 'Index': 8.1}, {'Period': '2026-03-27T05:30:33', 'Index': 6.8}, {'Period': '2026-03-28T05:30:33', 'Index': 7.7}, {'Period': '2026-03-29T05:30:33', 'Index': 7.3}, {'Period': '2026-03-30T05:30:33', 'Index': 8.5}, {'Period': '2026-03-31T05:30:32', 'Index': 5.9}, {'Period': '2026-04-01T05:30:32', 'Index': 7.5}, {'Period': '2026-04-02T05:30:32', 'Index': 5.4}, {'Period': '2026-04-03T05:30:33', 'Index': 9.1}, {'Period': '2026-04-04T05:30:33', 'Index': 9.4}, {'Period': '2026-04-05T05:30:32', 'Index': 6.5}, {'Period': '2026-04-06T05:30:33', 'Index': 10.2}, {'Period': '2026-04-07T05:30:33', 'Index': 10.1}, {'Period': '2026-04-08T05:30:33', 'Index': 9.2}, {'Period': '2026-04-09T05:30:33', 'Index': 9.3}, {'Period': '2026-04-10T05:30:33', 'Index': 10.4}, {'Period': '2026-04-11T05:30:32', 'Index': 11.2}, {'Period': '2026-04-12T05:30:31', 'Index': 10.1}, {'Period': '2026-04-13T05:30:30', 'Index': 10.7}, {'Period': '2026-04-14T05:30:30', 'Index': 11.8}, {'Period': '2026-04-15T05:30:32', 'Index': 11.7}, {'Period': '2026-04-16T05:30:33', 'Index': 11.7}, {'Period': '2026-04-17T05:30:33', 'Index': 11.6}, {'Period': '2026-04-18T05:30:32', 'Index': 11.3}], 'DisplayLocation': 'Hoboken, NJ'}",07030
pollen,2026-04-18T00:00:00-04:00,"{'ZIP': '10019', 'City': 'NEW YORK', 'State': 'NY', 'periods': [{'Period': '2026-03-20T05:30:33', 'Index': 6.9}, {'Period': '2026-03-21T05:30:33', 'Index': 6.8}, {'Period': '2026-03-22T05:30:33', 'Index': 6.6}, {'Period': '2026-03-23T05:30:33', 'Index': 2.7}, {'Period': '2026-03-24T05:30:33', 'Index': 7.8}, {'Period': '2026-03-25T05:30:33', 'Index': 7.6}, {'Period': '2026-03-26T05:30:33', 'Index': 8.1}, {'Period': '2026-03-27T05:30:33', 'Index': 6.8}, {'Period': '2026-03-28T05:30:33', 'Index': 7.7}, {'Period': '2026-03-29T05:30:33', 'Index': 7.3}, {'Period': '2026-03-30T05:30:33', 'Index': 8.5}, {'Period': '2026-03-31T05:30:32', 'Index': 5.9}, {'Period': '2026-04-01T05:30:32', 'Index': 7.5}, {'Period': '2026-04-02T05:30:32', 'Index': 5.4}, {'Period': '2026-04-03T05:30:33', 'Index': 9.1}, {'Period': '2026-04-04T05:30:33', 'Index': 9.4}, {'Period': '2026-04-05T05:30:32', 'Index': 6.5}, {'Period': '2026-04-06T05:30:33', 'Index': 10.2}, {'Period': '2026-04-07T05:30:33', 'Index': 10.1}, {'Period': '2026-04-08T05:30:33', 'Index': 9.2}, {'Period': '2026-04-09T05:30:33', 'Index': 9.3}, {'Period': '2026-04-10T05:30:33', 'Index': 10.4}, {'Period': '2026-04-11T05:30:32', 'Index': 11.2}, {'Period': '2026-04-12T05:30:31', 'Index': 10.1}, {'Period': '2026-04-13T05:30:30', 'Index': 10.7}, {'Period': '2026-04-14T05:30:30', 'Index': 11.8}, {'Period': '2026-04-15T05:30:32', 'Index': 11.7}, {'Period': '2026-04-16T05:30:33', 'Index': 11.7}, {'Period': '2026-04-17T05:30:33', 'Index': 11.6}, {'Period': '2026-04-18T05:30:32', 'Index': 11.3}], 'DisplayLocation': 'New York, NY'}",10019
pollen,2026-04-18T00:00:00-04:00,"{'ZIP': '10309', 'City': 'STATEN ISLAND', 'State': 'NY', 'periods': [{'Period': '2026-03-20T05:30:33', 'Index': 6.9}, {'Period': '2026-03-21T05:30:33', 'Index': 6.8}, {'Period': '2026-03-22T05:30:33', 'Index': 6.6}, {'Period': '2026-03-23T05:30:33', 'Index': 2.7}, {'Period': '2026-03-24T05:30:33', 'Index': 7.8}, {'Period': '2026-03-25T05:30:33', 'Index': 7.6}, {'Period': '2026-03-26T05:30:33', 'Index': 8.1}, {'Period': '2026-03-27T05:30:33', 'Index': 6.8}, {'Period': '2026-03-28T05:30:33', 'Index': 7.7}, {'Period': '2026-03-29T05:30:33', 'Index': 7.3}, {'Period': '2026-03-30T05:30:33', 'Index': 8.5}, {'Period': '2026-03-31T05:30:32', 'Index': 5.9}, {'Period': '2026-04-01T05:30:32', 'Index': 7.5}, {'Period': '2026-04-02T05:30:32', 'Index': 5.4}, {'Period': '2026-04-03T05:30:33', 'Index': 9.1}, {'Period': '2026-04-04T05:30:33', 'Index': 9.4}, {'Period': '2026-04-05T05:30:32', 'Index': 6.5}, {'Period': '2026-04-06T05:30:33', 'Index': 10.2}, {'Period': '2026-04-07T05:30:33', 'Index': 10.1}, {'Period': '2026-04-08T05:30:33', 'Index': 9.2}, {'Period': '2026-04-09T05:30:33', 'Index': 9.3}, {'Period': '2026-04-10T05:30:33', 'Index': 10.4}, {'Period': '2026-04-11T05:30:32', 'Index': 11.2}, {'Period': '2026-04-12T05:30:31', 'Index': 10.1}, {'Period': '2026-04-13T05:30:30', 'Index': 10.7}, {'Period': '2026-04-14T05:30:30', 'Index': 11.8}, {'Period': '2026-04-15T05:30:32', 'Index': 11.7}, {'Period': '2026-04-16T05:30:33', 'Index': 11.7}, {'Period': '2026-04-17T05:30:33', 'Index': 11.6}, {'Period': '2026-04-18T05:30:32', 'Index': 11.3}], 'DisplayLocation': 'Staten Island, NY'}",10309
pollen,2026-04-18T00:00:00-04:00,"{'ZIP': '10464', 'City': 'BRONX', 'State': 'NY', 'periods': [{'Period': '2026-03-20T05:30:33', 'Index': 6.9}, {'Period': '2026-03-21T05:30:33', 'Index': 6.8}, {'Period': '2026-03-22T05:30:33', 'Index': 6.6}, {'Period': '2026-03-23T05:30:33', 'Index': 2.7}, {'Period': '2026-03-24T05:30:33', 'Index': 7.8}, {'Period': '2026-03-25T05:30:33', 'Index': 7.6}, {'Period': '2026-03-26T05:30:33', 'Index': 8.1}, {'Period': '2026-03-27T05:30:33', 'Index': 6.8}, {'Period': '2026-03-28T05:30:33', 'Index': 7.7}, {'Period': '2026-03-29T05:30:33', 'Index': 7.3}, {'Period': '2026-03-30T05:30:33', 'Index': 8.5}, {'Period': '2026-03-31T05:30:32', 'Index': 5.9}, {'Period': '2026-04-01T05:30:32', 'Index': 7.5}, {'Period': '2026-04-02T05:30:32', 'Index': 5.4}, {'Period': '2026-04-03T05:30:33', 'Index': 9.1}, {'Period': '2026-04-04T05:30:33', 'Index': 9.4}, {'Period': '2026-04-05T05:30:32', 'Index': 6.5}, {'Period': '2026-04-06T05:30:33', 'Index': 10.2}, {'Period': '2026-04-07T05:30:33', 'Index': 10.1}, {'Period': '2026-04-08T05:30:33', 'Index': 9.2}, {'Period': '2026-04-09T05:30:33', 'Index': 9.3}, {'Period': '2026-04-10T05:30:33', 'Index': 10.4}, {'Period': '2026-04-11T05:30:32', 'Index': 11.2}, {'Period': '2026-04-12T05:30:31', 'Index': 10.1}, {'Period': '2026-04-13T05:30:30', 'Index': 10.7}, {'Period': '2026-04-14T05:30:30', 'Index': 11.8}, {'Period': '2026-04-15T05:30:32', 'Index': 11.7}, {'Period': '2026-04-16T05:30:33', 'Index': 11.7}, {'Period': '2026-04-17T05:30:33', 'Index': 11.6}, {'Period': '2026-04-18T05:30:32', 'Index': 11.3}], 'DisplayLocation': 'Bronx, NY'}",10464
pollen,2026-04-18T00:00:00-04:00,"{'ZIP': '10601', 'City': 'WHITE PLAINS', 'State': 'NY', 'periods': [{'Period': '2026-03-20T05:30:33', 'Index': 6.9}, {'Period': '2026-03-21T05:30:33', 'Index': 6.8}, {'Period': '2026-03-22T05:30:33', 'Index': 6.6}, {'Period': '2026-03-23T05:30:33', 'Index': 2.7}, {'Period': '2026-03-24T05:30:33', 'Index': 7.8}, {'Period': '2026-03-25T05:30:33', 'Index': 7.6}, {'Period': '2026-03-26T05:30:33', 'Index': 8.1}, {'Period': '2026-03-27T05:30:33', 'Index': 6.8}, {'Period': '2026-03-28T05:30:33', 'Index': 7.7}, {'Period': '2026-03-29T05:30:33', 'Index': 7.3}, {'Period': '2026-03-30T05:30:33', 'Index': 8.5}, {'Period': '2026-03-31T05:30:32', 'Index': 5.9}, {'Period': '2026-04-01T05:30:32', 'Index': 7.5}, {'Period': '2026-04-02T05:30:32', 'Index': 5.4}, {'Period': '2026-04-03T05:30:33', 'Index': 9.1}, {'Period': '2026-04-04T05:30:33', 'Index': 9.4}, {'Period': '2026-04-05T05:30:32', 'Index': 6.5}, {'Period': '2026-04-06T05:30:33', 'Index': 10.2}, {'Period': '2026-04-07T05:30:33', 'Index': 10.1}, {'Period': '2026-04-08T05:30:33', 'Index': 9.2}, {'Period': '2026-04-09T05:30:33', 'Index': 9.3}, {'Period': '2026-04-10T05:30:33', 'Index': 10.4}, {'Period': '2026-04-11T05:30:32', 'Index': 11.2}, {'Period': '2026-04-12T05:30:31', 'Index': 10.1}, {'Period': '2026-04-13T05:30:30', 'Index': 10.7}, {'Period': '2026-04-14T05:30:30', 'Index': 11.8}, {'Period': '2026-04-15T05:30:32', 'Index': 11.7}, {'Period': '2026-04-16T05:30:33', 'Index': 11.7}, {'Period': '2026-04-17T05:30:33', 'Index': 11.6}, {'Period': '2026-04-18T05:30:32', 'Index': 11.3}], 'DisplayLocation': 'White Plains, NY'}",10601
pollen,2026-04-18T00:00:00-04:00,"{'ZIP': '11004', 'City': 'GLEN OAKS', 'State': 'NY', 'periods': [{'Period': '2026-03-20T05:30:33', 'Index': 6.9}, {'Period': '2026-03-21T05:30:33', 'Index': 6.8}, {'Period': '2026-03-22T05:30:33', 'Index': 6.6}, {'Period': '2026-03-23T05:30:33', 'Index': 2.7}, {'Period': '2026-03-24T05:30:33', 'Index': 7.8}, {'Period': '2026-03-25T05:30:33', 'Index': 7.6}, {'Period': '2026-03-26T05:30:33', 'Index': 8.1}, {'Period': '2026-03-27T05:30:33', 'Index': 6.8}, {'Period': '2026-03-28T05:30:33', 'Index': 7.7}, {'Period': '2026-03-29T05:30:33', 'Index': 7.3}, {'Period': '2026-03-30T05:30:33', 'Index': 8.5}, {'Period': '2026-03-31T05:30:32', 'Index': 5.9}, {'Period': '2026-04-01T05:30:32', 'Index': 7.5}, {'Period': '2026-04-02T05:30:32', 'Index': 5.4}, {'Period': '2026-04-03T05:30:33', 'Index': 9.1}, {'Period': '2026-04-04T05:30:33', 'Index': 9.4}, {'Period': '2026-04-05T05:30:32', 'Index': 6.5}, {'Period': '2026-04-06T05:30:33', 'Index': 10.2}, {'Period': '2026-04-07T05:30:33', 'Index': 10.1}, {'Period': '2026-04-08T05:30:33', 'Index': 9.2}, {'Period': '2026-04-09T05:30:33', 'Index': 9.3}, {'Period': '2026-04-10T05:30:33', 'Index': 10.4}, {'Period': '2026-04-11T05:30:32', 'Index': 11.2}, {'Period': '2026-04-12T05:30:31', 'Index': 10.1}, {'Period': '2026-04-13T05:30:30', 'Index': 10.7}, {'Period': '2026-04-14T05:30:30', 'Index': 11.8}, {'Period': '2026-04-15T05:30:32', 'Index': 11.7}, {'Period': '2026-04-16T05:30:33', 'Index': 11.7}, {'Period': '2026-04-17T05:30:33', 'Index': 11.6}, {'Period': '2026-04-18T05:30:32', 'Index': 11.3}], 'DisplayLocation': 'Glen Oaks, NY'}",11004
pollen,2026-04-18T00:00:00-04:00,"{'ZIP': '11691', 'City': 'FAR ROCKAWAY', 'State': 'NY', 'periods': [{'Period': '2026-03-20T05:30:33', 'Index': 7.1}, {'Period': '2026-03-21T05:30:33', 'Index': 5.8}, {'Period': '2026-03-22T05:30:33', 'Index': 6.3}, {'Period': '2026-03-23T05:30:33', 'Index': 0.9}, {'Period': '2026-03-24T05:30:33', 'Index': 6.9}, {'Period': '2026-03-25T05:30:33', 'Index': 7.4}, {'Period': '2026-03-26T05:30:33', 'Index': 7.8}, {'Period': '2026-03-27T05:30:33', 'Index': 4.8}, {'Period': '2026-03-28T05:30:33', 'Index': 6.2}, {'Period': '2026-03-29T05:30:33', 'Index': 6.6}, {'Period': '2026-03-30T05:30:33', 'Index': 7.8}, {'Period': '2026-03-31T05:30:32', 'Index': 5.4}, {'Period': '2026-04-01T05:30:32', 'Index': 6.4}, {'Period': '2026-04-02T05:30:32', 'Index': 2.3}, {'Period': '2026-04-03T05:30:33', 'Index': 8.2}, {'Period': '2026-04-04T05:30:33', 'Index': 8.0}, {'Period': '2026-04-05T05:30:32', 'Index': 5.4}, {'Period': '2026-04-06T05:30:33', 'Index': 9.7}, {'Period': '2026-04-07T05:30:33', 'Index': 8.3}, {'Period': '2026-04-08T05:30:33', 'Index': 8.5}, {'Period': '2026-04-09T05:30:33', 'Index': 9.2}, {'Period': '2026-04-10T05:30:33', 'Index': 10.1}, {'Period': '2026-04-11T05:30:32', 'Index': 9.5}, {'Period': '2026-04-12T05:30:31', 'Index': 9.8}, {'Period': '2026-04-13T05:30:30', 'Index': 10.6}, {'Period': '2026-04-14T05:30:30', 'Index': 11.6}, {'Period': '2026-04-15T05:30:32', 'Index': 11.7}, {'Period': '2026-04-16T05:30:33', 'Index': 11.7}, {'Period': '2026-04-17T05:30:33', 'Index': 10.9}, {'Period': '2026-04-18T05:30:32', 'Index': 10.7}], 'DisplayLocation': 'Far Rockaway, NY'}",11691
pollen,2026-04-18T00:00:00-04:00,"{'ZIP': '11692', 'City': 'ARVERNE', 'State': 'NY', 'periods': [{'Period': '2026-03-20T05:30:33', 'Index': 7.1}, {'Period': '2026-03-21T05:30:33', 'Index': 5.8}, {'Period': '2026-03-22T05:30:33', 'Index': 6.3}, {'Period': '2026-03-23T05:30:33', 'Index': 0.9}, {'Period': '2026-03-24T05:30:33', 'Index': 6.9}, {'Period': '2026-03-25T05:30:33', 'Index': 7.4}, {'Period': '2026-03-26T05:30:33', 'Index': 7.8}, {'Period': '2026-03-27T05:30:33', 'Index': 4.8}, {'Period': '2026-03-28T05:30:33', 'Index': 6.2}, {'Period': '2026-03-29T05:30:33', 'Index': 6.6}, {'Period': '2026-03-30T05:30:33', 'Index': 7.8}, {'Period': '2026-03-31T05:30:32', 'Index': 5.4}, {'Period': '2026-04-01T05:30:32', 'Index': 6.4}, {'Period': '2026-04-02T05:30:32', 'Index': 2.3}, {'Period': '2026-04-03T05:30:33', 'Index': 8.2}, {'Period': '2026-04-04T05:30:33', 'Index': 8.0}, {'Period': '2026-04-05T05:30:32', 'Index': 5.4}, {'Period': '2026-04-06T05:30:33', 'Index': 9.7}, {'Period': '2026-04-07T05:30:33', 'Index': 8.3}, {'Period': '2026-04-08T05:30:33', 'Index': 8.5}, {'Period': '2026-04-09T05:30:33', 'Index': 9.2}, {'Period': '2026-04-10T05:30:33', 'Index': 10.1}, {'Period': '2026-04-11T05:30:32', 'Index': 9.5}, {'Period': '2026-04-12T05:30:31', 'Index': 9.8}, {'Period': '2026-04-13T05:30:30', 'Index': 10.6}, {'Period': '2026-04-14T05:30:30', 'Index': 11.6}, {'Period': '2026-04-15T05:30:32', 'Index': 11.7}, {'Period': '2026-04-16T05:30:33', 'Index': 11.7}, {'Period': '2026-04-17T05:30:33', 'Index': 10.9}, {'Period': '2026-04-18T05:30:32', 'Index': 10.7}], 'DisplayLocation': 'Arverne, NY'}",11692
pollen,2026-04-18T00:00:00-04:00,"{'ZIP': '11694', 'City': 'ROCKAWAY PARK', 'State': 'NY', 'periods': [{'Period': '2026-03-20T05:30:33', 'Index': 7.1}, {'Period': '2026-03-21T05:30:33', 'Index': 5.8}, {'Period': '2026-03-22T05:30:33', 'Index': 6.3}, {'Period': '2026-03-23T05:30:33', 'Index': 0.9}, {'Period': '2026-03-24T05:30:33', 'Index': 6.9}, {'Period': '2026-03-25T05:30:33', 'Index': 7.4}, {'Period': '2026-03-26T05:30:33', 'Index': 7.8}, {'Period': '2026-03-27T05:30:33', 'Index': 4.8}, {'Period': '2026-03-28T05:30:33', 'Index': 6.2}, {'Period': '2026-03-29T05:30:33', 'Index': 6.6}, {'Period': '2026-03-30T05:30:33', 'Index': 7.8}, {'Period': '2026-03-31T05:30:32', 'Index': 5.4}, {'Period': '2026-04-01T05:30:32', 'Index': 6.4}, {'Period': '2026-04-02T05:30:32', 'Index': 2.3}, {'Period': '2026-04-03T05:30:33', 'Index': 8.2}, {'Period': '2026-04-04T05:30:33', 'Index': 8.0}, {'Period': '2026-04-05T05:30:32', 'Index': 5.4}, {'Period': '2026-04-06T05:30:33', 'Index': 9.7}, {'Period': '2026-04-07T05:30:33', 'Index': 8.3}, {'Period': '2026-04-08T05:30:33', 'Index': 8.5}, {'Period': '2026-04-09T05:30:33', 'Index': 9.2}, {'Period': '2026-04-10T05:30:33', 'Index': 10.1}, {'Period': '2026-04-11T05:30:32', 'Index': 9.5}, {'Period': '2026-04-12T05:30:31', 'Index': 9.8}, {'Period': '2026-04-13T05:30:30', 'Index': 10.6}, {'Period': '2026-04-14T05:30:30', 'Index': 11.6}, {'Period': '2026-04-15T05:30:32', 'Index': 11.7}, {'Period': '2026-04-16T05:30:33', 'Index': 11.7}, {'Period': '2026-04-17T05:30:33', 'Index': 10.9}, {'Period': '2026-04-18T05:30:32', 'Index': 10.7}], 'DisplayLocation': 'Rockaway Park, NY'}",11694
pollen,2026-04-18T00:00:00-04:00,"{'ZIP': '11697', 'City': 'BREEZY POINT', 'State': 'NY', 'periods': [{'Period': '2026-03-20T05:30:33', 'Index': 6.9}, {'Period': '2026-03-21T05:30:33', 'Index': 6.8}, {'Period': '2026-03-22T05:30:33', 'Index': 6.6}, {'Period': '2026-03-23T05:30:33', 'Index': 2.7}, {'Period': '2026-03-24T05:30:33', 'Index': 7.8}, {'Period': '2026-03-25T05:30:33', 'Index': 7.6}, {'Period': '2026-03-26T05:30:33', 'Index': 8.1}, {'Period': '2026-03-27T05:30:33', 'Index': 6.8}, {'Period': '2026-03-28T05:30:33', 'Index': 7.7}, {'Period': '2026-03-29T05:30:33', 'Index': 7.3}, {'Period': '2026-03-30T05:30:33', 'Index': 8.5}, {'Period': '2026-03-31T05:30:32', 'Index': 5.9}, {'Period': '2026-04-01T05:30:32', 'Index': 7.5}, {'Period': '2026-04-02T05:30:32', 'Index': 5.4}, {'Period': '2026-04-03T05:30:33', 'Index': 9.1}, {'Period': '2026-04-04T05:30:33', 'Index': 9.4}, {'Period': '2026-04-05T05:30:32', 'Index': 6.5}, {'Period': '2026-04-06T05:30:33', 'Index': 10.2}, {'Period': '2026-04-07T05:30:33', 'Index': 10.1}, {'Period': '2026-04-08T05:30:33', 'Index': 9.2}, {'Period': '2026-04-09T05:30:33', 'Index': 9.3}, {'Period': '2026-04-10T05:30:33', 'Index': 10.4}, {'Period': '2026-04-11T05:30:32', 'Index': 11.2}, {'Period': '2026-04-12T05:30:31', 'Index': 10.1}, {'Period': '2026-04-13T05:30:30', 'Index': 10.7}, {'Period': '2026-04-14T05:30:30', 'Index': 11.8}, {'Period': '2026-04-15T05:30:32', 'Index': 11.7}, {'Period': '2026-04-16T05:30:33', 'Index': 11.7}, {'Period': '2026-04-17T05:30:33', 'Index': 11.6}, {'Period': '2026-04-18T05:30:32', 'Index': 11.3}], 'DisplayLocation': 'Breezy Point, NY'}",11697
