nta_code,time,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max
BK0101,2022-01-01,12.0,7.8,16.5,12.4
BK0101,2022-01-02,13.9,3.3,19.8,30.2
BK0101,2022-01-03,2.6,-4.3,2.4,28.0
BK0101,2022-01-04,0.3,-6.3,0.0,20.9
BK0101,2022-01-05,7.2,-1.9,1.3,19.5
BK0101,2022-01-06,4.3,-0.2,0.0,21.3
BK0101,2022-01-07,-0.1,-5.7,8.9,25.0
BK0101,2022-01-08,-3.2,-9.8,0.0,22.6
BK0101,2022-01-09,4.0,-6.2,4.9,26.3
BK0101,2022-01-10,4.2,-3.8,0.0,24.1
BK0101,2022-01-11,-4.0,-8.5,0.0,28.5
BK0101,2022-01-12,4.7,-8.0,0.0,22.0
BK0101,2022-01-13,7.6,-2.3,0.0,10.4
BK0101,2022-01-14,5.2,-4.7,0.0,37.6
BK0101,2022-01-15,-5.4,-10.7,0.0,26.1
BK0101,2022-01-16,3.2,-13.1,4.1,31.3
BK0101,2022-01-17,9.9,0.4,33.0,49.7
BK0101,2022-01-18,2.2,-4.0,0.0,32.1
BK0101,2022-01-19,7.9,-3.8,0.0,23.9
BK0101,2022-01-20,5.2,-5.2,7.3,21.5
BK0101,2022-01-21,-4.8,-11.2,0.0,23.1
BK0101,2022-01-22,-1.4,-11.9,0.0,17.7
BK0101,2022-01-23,2.7,-6.2,0.3,15.4
BK0101,2022-01-24,0.9,-3.4,0.2,14.7
BK0101,2022-01-25,6.6,-3.8,0.0,18.6
BK0101,2022-01-26,-2.8,-7.8,0.0,21.6
BK0101,2022-01-27,-0.5,-9.9,0.0,21.6
BK0101,2022-01-28,0.6,-2.8,2.4,18.4
BK0101,2022-01-29,-1.6,-12.6,20.6,37.5
BK0101,2022-01-30,-6.8,-14.1,0.0,26.3
BK0101,2022-01-31,-3.1,-17.8,0.0,10.5
BK0101,2022-02-01,-1.5,-14.1,0.0,14.3
BK0101,2022-02-02,4.1,-6.2,0.0,12.3
BK0101,2022-02-03,9.8,2.5,11.6,19.7
BK0101,2022-02-04,12.2,-2.2,23.7,24.8
BK0101,2022-02-05,-1.6,-6.7,0.7,28.1
BK0101,2022-02-06,-1.2,-8.9,0.0,16.2
BK0101,2022-02-07,2.7,-3.9,6.1,15.9
BK0101,2022-02-08,8.2,-1.2,5.1,24.8
BK0101,2022-02-09,5.2,-4.4,0.0,18.3
BK0101,2022-02-10,11.3,0.0,0.0,33.4
BK0101,2022-02-11,11.4,-3.2,0.0,26.9
BK0101,2022-02-12,13.6,5.9,0.0,26.1
BK0101,2022-02-13,5.0,-2.8,6.0,16.6
BK0101,2022-02-14,-3.5,-10.1,0.0,27.7
BK0101,2022-02-15,-0.4,-10.6,0.0,14.5
BK0101,2022-02-16,5.9,-5.3,0.0,23.2
BK0101,2022-02-17,15.8,5.8,1.2,34.4
BK0101,2022-02-18,15.6,-2.7,12.5,45.6
BK0101,2022-02-19,4.2,-5.0,0.2,37.6
BK0101,2022-02-20,1.7,-6.4,0.0,27.2
BK0101,2022-02-21,9.3,-1.9,0.0,19.8
BK0101,2022-02-22,13.6,0.8,5.1,44.6
BK0101,2022-02-23,19.1,3.8,0.4,30.4
BK0101,2022-02-24,2.4,-1.9,0.0,21.7
BK0101,2022-02-25,6.7,-1.9,21.1,29.9
BK0101,2022-02-26,3.1,-6.3,0.0,25.9
BK0101,2022-02-27,7.9,-3.5,0.0,33.4
BK0101,2022-02-28,1.6,-4.4,0.0,24.0
BK0101,2022-03-01,6.2,-3.6,0.2,24.0
BK0101,2022-03-02,10.5,0.9,0.2,18.7
BK0101,2022-03-03,5.5,-2.8,4.0,26.1
BK0101,2022-03-04,2.9,-6.9,0.0,20.9
BK0101,2022-03-05,5.8,-3.2,0.0,19.1
BK0101,2022-03-06,19.4,3.8,2.7,31.8
BK0101,2022-03-07,22.0,11.2,3.1,41.9
BK0101,2022-03-08,13.7,2.1,0.0,34.5
BK0101,2022-03-09,4.0,1.1,15.1,20.2
BK0101,2022-03-10,8.8,-1.9,0.0,12.6
BK0101,2022-03-11,10.6,0.4,0.0,21.2
BK0101,2022-03-12,7.0,-4.2,18.4,37.0
BK0101,2022-03-13,2.9,-5.9,0.1,36.2
BK0101,2022-03-14,12.9,-2.0,0.0,20.5
BK0101,2022-03-15,15.1,2.5,0.0,20.9
BK0101,2022-03-16,16.5,3.8,0.0,19.2
BK0101,2022-03-17,12.5,4.2,7.5,19.0
BK0101,2022-03-18,20.1,7.0,0.0,17.1
BK0101,2022-03-19,17.3,6.9,1.1,17.9
BK0101,2022-03-20,15.1,6.9,0.0,28.2
BK0101,2022-03-21,15.8,4.8,0.0,31.7
BK0101,2022-03-22,13.1,4.2,0.0,25.1
BK0101,2022-03-23,7.9,1.4,1.6,19.3
BK0101,2022-03-24,9.5,4.2,22.0,26.7
BK0101,2022-03-25,16.2,4.3,5.7,28.8
BK0101,2022-03-26,10.8,5.1,3.1,19.9
BK0101,2022-03-27,7.7,-0.7,0.3,27.5
BK0101,2022-03-28,0.3,-5.1,0.0,32.8
BK0101,2022-03-29,3.4,-5.0,0.0,30.9
BK0101,2022-03-30,5.4,-3.3,0.0,18.4
BK0101,2022-03-31,18.8,4.5,4.7,36.4
BK0101,2022-04-01,15.7,5.3,6.9,34.0
BK0101,2022-04-02,11.1,1.4,0.0,27.8
BK0101,2022-04-03,8.7,3.2,4.2,21.6
BK0101,2022-04-04,12.6,2.7,0.0,22.7
BK0101,2022-04-05,12.3,1.4,1.9,14.9
BK0101,2022-04-06,12.7,6.9,17.7,36.7
BK0101,2022-04-07,11.9,6.2,43.8,41.9
BK0101,2022-04-08,17.0,7.3,16.5,24.7
BK0101,2022-04-09,14.0,5.8,4.6,24.7
BK0101,2022-04-10,10.1,3.8,0.0,33.1
BK0101,2022-04-11,12.4,1.8,0.0,20.7
BK0101,2022-04-12,21.0,7.4,1.5,21.2
BK0101,2022-04-13,17.9,7.3,0.0,19.0
BK0101,2022-04-14,27.2,14.6,1.3,25.8
BK0101,2022-04-15,19.0,6.7,0.2,28.5
BK0101,2022-04-16,19.3,7.7,4.8,28.6
BK0101,2022-04-17,10.4,4.2,0.5,32.6
BK0101,2022-04-18,10.4,1.3,6.8,31.0
BK0101,2022-04-19,11.4,4.9,28.5,45.0
BK0101,2022-04-20,14.1,3.5,0.0,25.9
BK0101,2022-04-21,12.7,4.6,0.3,34.2
BK0101,2022-04-22,18.5,8.1,0.0,23.6
BK0101,2022-04-23,14.7,5.8,0.0,14.1
BK0101,2022-04-24,15.7,7.3,0.0,25.0
BK0101,2022-04-25,14.7,6.1,0.0,22.2
BK0101,2022-04-26,16.3,9.9,2.9,14.8
BK0101,2022-04-27,13.6,4.9,0.9,32.2
BK0101,2022-04-28,12.8,3.2,0.0,34.9
BK0101,2022-04-29,15.7,2.8,0.0,28.7
BK0101,2022-04-30,18.2,3.8,0.0,19.8
BK0101,2022-05-01,18.8,5.2,0.6,17.9
BK0101,2022-05-02,14.9,10.1,2.9,19.0
BK0101,2022-05-03,18.3,7.5,0.0,20.8
BK0101,2022-05-04,20.5,9.4,3.2,18.0
BK0101,2022-05-05,22.1,11.4,0.0,15.8
BK0101,2022-05-06,14.6,9.8,21.4,15.5
BK0101,2022-05-07,11.0,7.2,27.3,34.9
BK0101,2022-05-08,12.6,6.8,1.4,30.8
BK0101,2022-05-09,18.4,5.5,0.0,25.1
BK0101,2022-05-10,20.0,7.8,0.0,26.8
BK0101,2022-05-11,21.2,8.7,0.0,25.6
BK0101,2022-05-12,21.5,11.4,0.1,15.5
BK0101,2022-05-13,22.0,14.1,1.0,14.7
BK0101,2022-05-14,21.5,14.4,8.7,16.5
BK0101,2022-05-15,24.2,14.0,2.8,21.0
BK0101,2022-05-16,22.5,15.1,5.0,22.2
BK0101,2022-05-17,23.6,11.9,0.1,33.9
BK0101,2022-05-18,21.5,11.1,0.0,18.3
BK0101,2022-05-19,21.2,12.5,14.1,13.7
BK0101,2022-05-20,21.9,11.1,6.8,20.5
BK0101,2022-05-21,31.9,16.3,0.0,17.1
BK0101,2022-05-22,30.0,20.7,0.0,17.9
BK0101,2022-05-23,22.6,15.9,0.0,20.9
BK0101,2022-05-24,19.5,13.2,0.0,18.9
BK0101,2022-05-25,19.5,10.9,0.0,19.3
